Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Rk_per_90,GA_per_90,GA90_per_90,SoTA_per_90,Saves_per_90,Save%_per_90,W_per_90,D_per_90,L_per_90,CS_per_90,CS%_per_90,PKatt_per_90,PKA_per_90,PKsv_per_90,PKm_per_90,Save%.1_per_90,FK_per_90,CK_per_90,OG_per_90,PSxG_per_90,PSxG/SoT_per_90,PSxG+/-_per_90,/90_per_90,Cmp_per_90,Att_per_90,Cmp%_per_90,Att (GK)_per_90,Thr_per_90,Launch%_per_90,AvgLen_per_90,Att.1_per_90,Launch%.1_per_90,AvgLen.1_per_90,Opp_per_90,Stp_per_90,Stp%_per_90,#OPA_per_90,#OPA/90_per_90,AvgDist_per_90
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.7,13.3,3.0548302872062667,1.6449086161879896,0.385378590078329,3.524804177545692,1.8798955613577024,12.52480417754569,0.2349869451697128,0.0,0.4699738903394256,0.2349869451697128,7.825065274151435,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.3629242819843341,0.09164490861618799,-0.2819843342036553,-0.06579634464751959,3.0548302872062667,13.159268929503916,5.4516971279373365,26.08355091383812,2.1148825065274153,8.459530026109661,7.9425587467362915,7.754569190600522,11.39686684073107,8.671018276762402,11.74934725848564,0.0,0.0,0.7049608355091384,0.16449086161879894,3.12532637075718
14,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4,1.0,1.7857142857142856,0.12785714285714286,5.285714285714286,3.5,4.921428571428572,0.2142857142857143,0.2142857142857143,0.5714285714285714,0.2857142857142857,2.042857142857143,0.2142857142857143,0.14285714285714285,0.07142857142857142,0.0,2.3785714285714286,0.0,0.3571428571428571,0.07142857142857142,1.4785714285714284,0.017142857142857144,-0.2357142857142857,-0.017142857142857144,3.142857142857143,13.142857142857144,1.707142857142857,28.57142857142857,5.357142857142857,2.4857142857142853,2.357142857142857,6.428571428571428,3.571428571428571,2.914285714285714,16.857142857142858,0.7857142857142857,0.33571428571428574,0.7142857142857142,0.05071428571428571,0.8857142857142858
15,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38.0,23,47.8,42.5,56,3,5.4,0,0.0,9.6,3.75,2.75,0.6875,8.5,5.75,16.9,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,2.725,0.08,-0.025,-0.005,4.5,15.25,7.375,29.5,6.499999999999999,10.6,9.5,5.75,11.95,10.625,14.0,0.75,1.35,0.0,0.0,2.4
16,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3,0,4,0,36.2,0.27,2.2,0.07,232,482,48.1,908,134,39.3,35.1,188,66.5,47.3,382,18,4.7,41,1.28,15.7,0.5006954102920723,1.0639777468706537,0.033171070931849796,4.036856745479834,2.941585535465925,2.35326842837274,0.46940194714881783,0.31293463143254524,0.21905424200278165,0.4068150208623088,1.2705146036161334,0.09388038942976357,0.06258692628650904,0.03129346314325452,0.0,1.0420723226703754,0.0,0.12517385257301808,0.0,1.1328233657858136,0.008449235048678722,0.06884561891515995,0.0021905424200278165,7.260083449235048,15.083449235048679,1.5052155771905424,28.414464534075105,4.193324061196106,1.2298331015299027,1.0984005563282337,5.88317107093185,2.0810152990264257,1.4801808066759388,11.954102920723226,0.5632823365785813,0.14707927677329624,1.2830319888734354,0.040055632823365786,0.49130737134909597
18,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,1991,21,21,1890,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6,0.8571428571428572,1.4285714285714284,0.0680952380952381,3.619047619047619,2.1904761904761907,3.1333333333333333,0.47619047619047616,0.1904761904761905,0.33333333333333337,0.23809523809523808,1.1333333333333333,0.1904761904761905,0.1904761904761905,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,1.204761904761905,0.013333333333333336,-0.22380952380952382,-0.010476190476190477,2.7142857142857144,7.3809523809523805,1.7523809523809522,39.142857142857146,4.238095238095238,0.7,1.2238095238095237,6.3809523809523805,1.2095238095238094,1.461904761904762,11.952380952380953,0.761904761904762,0.3047619047619048,1.761904761904762,0.08380952380952382,0.8380952380952382
20,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40,1983,7,7,630,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6,2.8571428571428568,0.7142857142857142,0.10142857142857142,2.8571428571428568,2.2857142857142856,10.714285714285714,0.4285714285714286,0.5714285714285714,0.0,0.2857142857142857,4.085714285714286,0.0,0.0,0.0,0.0,,0.0,0.0,0.14285714285714285,0.7857142857142857,0.038571428571428576,0.2142857142857143,0.03,5.428571428571429,11.428571428571427,6.785714285714286,24.142857142857142,4.285714285714286,4.314285714285714,4.371428571428571,8.571428571428571,6.8999999999999995,5.728571428571429,14.42857142857143,0.5714285714285714,0.5714285714285714,0.8571428571428572,0.12285714285714286,1.8
21,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,,0,1,0,5.0,0.23,2.0,0.49,22,61,36.1,168,15,31.5,31.0,11,72.7,51.7,55,1,1.8,5,1.25,16.6,5.25,0.75,0.1875,5.5,4.75,21.6,0.75,0.25,0.0,0.25,6.25,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,1.25,0.0575,0.5,0.1225,5.5,15.25,9.025,42.0,3.75,7.874999999999999,7.75,2.75,18.175,12.924999999999999,13.750000000000002,0.25,0.45,1.25,0.3125,4.15
22,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36.0,21,90.5,59.6,51,3,5.9,9,3.0,19.1,7.333333333333334,3.333333333333333,1.11,5.666666666666666,2.3333333333333335,13.733333333333334,0.0,0.33333333333333337,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666667,0.0,2.1,0.12333333333333332,-1.2333333333333334,-0.41666666666666663,11.0,24.0,15.266666666666667,43.0,4.333333333333333,13.700000000000001,12.0,7.0,30.166666666666668,19.866666666666667,17.0,1.0,1.9666666666666666,3.0,1.0,6.366666666666667
23,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23,1999,34,34,3060,34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5,0,1,1,30.7,0.22,2.7,0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,376,32,8.5,21,0.62,12.2,0.6764705882352942,0.8529411764705882,0.025,3.088235294117647,2.1764705882352944,2.267647058823529,0.4411764705882353,0.29411764705882354,0.2647058823529412,0.5,1.4705882352941178,0.23529411764705882,0.14705882352941177,0.08823529411764705,0.0,1.1029411764705883,0.0,0.029411764705882353,0.029411764705882353,0.9029411764705881,0.006470588235294118,0.07941176470588236,0.0023529411764705885,2.1764705882352944,5.5588235294117645,1.1529411764705884,31.941176470588236,4.647058823529411,0.42352941176470593,0.7029411764705882,4.3235294117647065,0.6588235294117647,0.75,11.058823529411764,0.9411764705882353,0.25,0.6176470588235294,0.018235294117647058,0.3588235294117647
24,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23,23,2070,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3,1.0434782608695652,1.1739130434782608,0.0508695652173913,4.608695652173913,3.3913043478260874,3.4043478260869566,0.2608695652173913,0.2608695652173913,0.4782608695652174,0.21739130434782608,0.9434782608695652,0.21739130434782608,0.17391304347826086,0.043478260869565216,0.0,0.8695652173913043,0.0,0.21739130434782608,0.0,1.2000000000000002,0.009565217391304347,0.02608695652173913,0.0008695652173913044,5.086956521739131,15.217391304347826,1.452173913043478,28.565217391304348,5.956521739130435,1.7521739130434781,1.6,6.91304347826087,2.3260869565217392,1.9608695652173915,17.0,1.3478260869565217,0.34347826086956523,0.8695652173913043,0.03782608695652174,0.5782608695652175
26,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,2000,27,27,2425,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6.0,39,1.45,14.7,0.9649484536082474,1.1134020618556701,0.0411958762886598,3.971134020618557,2.783505154639175,2.8094845360824743,0.5567010309278351,0.18556701030927836,0.2597938144329897,0.29690721649484536,1.0985567010309278,0.2597938144329897,0.14845360824742268,0.07422680412371134,0.03711340206185567,1.2358762886597936,0.0,0.07422680412371134,0.0,1.087422680412371,0.008164948453608248,-0.025979381443298966,-0.00111340206185567,4.490721649484536,12.544329896907216,1.3286597938144329,25.237113402061855,5.270103092783505,1.1356701030927836,1.2544329896907216,7.162886597938144,2.5014432989690722,1.9187628865979383,12.321649484536081,0.7422680412371134,0.222680412371134,1.447422680412371,0.05381443298969072,0.5455670103092783
27,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,1992,25,25,2250,25.0,39,1.56,115,78,67.8,8,6,11,4,16.0,3,2,0,1,0.0,0,2,2,36.4,0.3,-0.6,-0.03,161,390,41.3,786,118,36.3,35.0,161,65.2,48.4,335,25,7.5,38,1.52,15.7,1.08,1.5599999999999998,0.062400000000000004,4.6000000000000005,3.1199999999999997,2.7119999999999997,0.32,0.24,0.44,0.16,0.64,0.12,0.08,0.0,0.04,0.0,0.0,0.08,0.08,1.456,0.012,-0.024,-0.0012,6.4399999999999995,15.600000000000001,1.652,31.44,4.72,1.452,1.4,6.4399999999999995,2.608,1.936,13.399999999999999,1.0,0.30000000000000004,1.5199999999999998,0.0608,0.6279999999999999
28,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,24,1999,8,7,675,7.5,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18.0,171,28,47.4,37.2,38,50.0,42.8,126,4,3.2,7,0.93,14.3,3.7333333333333334,1.4666666666666666,0.19599999999999998,3.7333333333333334,2.4000000000000004,8.093333333333334,0.26666666666666666,0.26666666666666666,0.4,0.4,5.720000000000001,0.13333333333333333,0.0,0.0,0.13333333333333333,,0.0,0.13333333333333333,0.13333333333333333,0.7866666666666667,0.029333333333333333,-0.5466666666666666,-0.07333333333333333,2.4000000000000004,13.333333333333332,2.4000000000000004,22.8,3.7333333333333334,6.319999999999999,4.960000000000001,5.066666666666666,6.666666666666666,5.706666666666666,16.8,0.5333333333333333,0.42666666666666664,0.9333333333333333,0.12400000000000001,1.9066666666666667
