Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Blocks,Int,Tkl+Int,Clr,Err,Won,Lost_misc,Won%,Cmp,Att_passing,Cmp%,TotDist,PrgDist,PrgP,PrgP_passing,KP,1/3,PPA,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Carries,PrgC,PrgDist_possession,Ast,xAG,xA,A-xAG,Recov,Fls,Fld,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,Rk_per_90,CrdY_per_90,CrdR_per_90,Tkl_per_90,TklW_per_90,Def 3rd_per_90,Mid 3rd_per_90,Att 3rd_per_90,Tkl%_per_90,Blocks_per_90,Int_per_90,Tkl+Int_per_90,Clr_per_90,Err_per_90,Won_per_90,Lost_misc_per_90,Won%_per_90,Cmp_per_90,Att_passing_per_90,Cmp%_per_90,TotDist_per_90,PrgDist_per_90,PrgP_per_90,PrgP_passing_per_90,KP_per_90,1/3_per_90,PPA_per_90,Touches_per_90,Def Pen_per_90,Def 3rd_possession_per_90,Mid 3rd_possession_per_90,Carries_per_90,PrgC_per_90,PrgDist_possession_per_90,Ast_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Recov_per_90,Fls_per_90,Fld_per_90,Min%_per_90,Compl_per_90,Subs_per_90,PPM_per_90,onG_per_90,onGA_per_90,+/-_per_90,+/-90_per_90
2565,Nathan Tella,ng NGA,"DF,MF",Leverkusen,de Bundesliga,24.0,1999.0,DF,24,8,819,9.1,2,0,13,8,6,5,2,50.0,10,3,16,8,0,5.0,9.0,35.7,279,351,79.5,3946,979,28,28,14,9,18,482,7,56,152,296,35,970,2,3.2,2.9,-1.2,30.0,11.0,18.0,26.8,1.0,16.0,2.75,24.0,2.0,22.0,2.42,281.86813186813185,0.21978021978021978,0.0,1.4285714285714284,0.8791208791208791,0.6593406593406593,0.5494505494505495,0.21978021978021978,5.4945054945054945,1.098901098901099,0.32967032967032966,1.7582417582417582,0.8791208791208791,0.0,0.5494505494505495,0.989010989010989,3.9230769230769234,30.65934065934066,38.57142857142857,8.736263736263737,433.6263736263736,107.58241758241758,3.076923076923077,3.076923076923077,1.5384615384615385,0.989010989010989,1.978021978021978,52.96703296703297,0.7692307692307693,6.153846153846154,16.703296703296704,32.527472527472526,3.8461538461538463,106.5934065934066,0.21978021978021978,0.3516483516483516,0.31868131868131866,-0.13186813186813187,3.296703296703297,1.208791208791209,1.978021978021978,2.9450549450549453,0.10989010989010989,1.7582417582417582,0.30219780219780223,2.6373626373626373,0.21978021978021978,2.417582417582418,0.26593406593406593
2833,Nathan Zeze,fr FRA,DF,Nantes,fr Ligue 1,18.0,2005.0,DF,13,11,1022,11.4,1,0,11,6,9,2,0,50.0,12,12,23,47,1,17.0,12.0,58.6,407,481,84.6,7796,2854,30,30,0,22,1,580,65,298,273,399,1,1219,0,0.0,0.1,0.0,36.0,8.0,7.0,33.4,10.0,2.0,0.77,6.0,21.0,-15.0,-1.32,249.48140900195693,0.08806262230919765,0.0,0.9686888454011742,0.5283757338551859,0.7925636007827788,0.1761252446183953,0.0,4.403131115459883,1.0567514677103718,1.0567514677103718,2.0254403131115457,4.138943248532289,0.08806262230919765,1.49706457925636,1.0567514677103718,5.160469667318982,35.84148727984344,42.35812133072407,7.450097847358121,686.5362035225049,251.33072407045012,2.6418786692759295,2.6418786692759295,0.0,1.9373776908023483,0.08806262230919765,51.076320939334636,5.724070450097847,26.2426614481409,24.04109589041096,35.136986301369866,0.08806262230919765,107.34833659491194,0.0,0.0,0.008806262230919765,0.0,3.170254403131115,0.7045009784735812,0.6164383561643836,2.9412915851272015,0.8806262230919765,0.1761252446183953,0.06780821917808219,0.5283757338551859,1.8493150684931505,-1.3209393346379648,-0.1162426614481409
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20.0,2002.0,DF,15,14,1243,13.8,2,0,13,9,8,3,2,85.7,15,18,31,64,1,30.0,22.0,57.7,578,669,86.4,10635,4097,34,34,3,38,1,811,94,374,397,554,10,1609,0,0.1,0.5,-0.1,60.0,10.0,12.0,40.6,13.0,1.0,0.93,15.0,27.0,-12.0,-0.87,1.8101367658889782,0.14481094127111827,0.0,0.9412711182622687,0.6516492357200322,0.5792437650844731,0.21721641190667737,0.14481094127111827,6.205148833467418,1.0860820595333869,1.3032984714400644,2.244569589702333,4.6339501206757845,0.07240547063555913,2.1721641190667738,1.592920353982301,4.177795655671762,41.85036202735318,48.43925985518906,6.25583266291231,770.0321802091713,296.64521319388575,2.4617860016090107,2.4617860016090107,0.21721641190667737,2.751407884151247,0.07240547063555913,58.72083668543846,6.806114239742559,27.07964601769912,28.744971842316975,40.11263073209976,0.7240547063555913,116.50040225261465,0.0,0.007240547063555914,0.036202735317779566,-0.007240547063555914,4.3443282381335475,0.7240547063555913,0.8688656476267095,2.939662107803701,0.9412711182622687,0.07240547063555913,0.06733708769107,1.0860820595333869,1.9549477071600965,-0.8688656476267095,-0.06299275945293645
549,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32.0,1991.0,DF,19,14,1338,14.9,0,0,24,15,11,11,2,66.7,18,10,34,33,0,13.0,8.0,61.9,495,600,82.5,7555,3021,33,33,3,33,4,722,40,273,323,326,10,658,0,0.2,0.2,-0.2,50.0,6.0,3.0,39.1,10.0,5.0,1.53,31.0,16.0,15.0,1.01,36.92825112107624,0.0,0.0,1.6143497757847534,1.0089686098654709,0.7399103139013453,0.7399103139013453,0.13452914798206278,4.486547085201794,1.2107623318385652,0.6726457399103138,2.286995515695067,2.219730941704036,0.0,0.874439461883408,0.5381165919282511,4.163677130044843,33.29596412556054,40.35874439461884,5.54932735426009,508.1838565022421,203.20627802690584,2.219730941704036,2.219730941704036,0.20179372197309417,2.219730941704036,0.26905829596412556,48.56502242152466,2.6905829596412554,18.36322869955157,21.72645739910314,21.928251121076233,0.6726457399103138,44.26008968609865,0.0,0.013452914798206279,0.013452914798206279,-0.013452914798206279,3.3632286995515694,0.40358744394618834,0.20179372197309417,2.6300448430493275,0.6726457399103138,0.3363228699551569,0.10291479820627804,2.085201793721973,1.0762331838565022,1.0089686098654709,0.0679372197309417
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27.0,1996.0,DF,21,21,1857,20.6,3,1,26,14,19,7,0,72.7,33,17,43,85,2,48.0,32.0,60.0,943,1177,80.1,19870,8804,68,68,4,74,2,1373,187,709,618,861,10,2388,0,0.3,0.4,-0.3,102.0,10.0,6.0,54.3,19.0,0.0,1.19,26.0,44.0,-18.0,-0.87,1.7447495961227786,0.14539579967689822,0.048465266558966075,1.260096930533118,0.6785137318255251,0.9208400646203554,0.33925686591276255,0.0,3.5234248788368334,1.5993537964458806,0.8239095315024233,2.0840064620355414,4.119547657512117,0.09693053311793215,2.3263327948303716,1.5508885298869144,2.9079159935379644,45.702746365105014,57.043618739903074,3.882067851373182,963.0048465266559,426.6882067851373,3.295638126009693,3.295638126009693,0.1938610662358643,3.5864297253634896,0.09693053311793215,66.54281098546042,9.063004846526656,34.36187399030695,29.951534733441033,41.72859450726979,0.48465266558966075,115.73505654281098,0.0,0.014539579967689821,0.01938610662358643,-0.014539579967689821,4.94345718901454,0.48465266558966075,0.29079159935379645,2.631663974151858,0.9208400646203554,0.0,0.05767366720516963,1.260096930533118,2.132471728594507,-0.8723747980613893,-0.042164781906300484
2768,Neco Williams,wls WAL,DF,Nott'ham Forest,eng Premier League,22.0,2001.0,DF,26,18,1637,18.2,4,0,69,40,42,18,9,62.5,44,22,91,53,0,31.0,20.0,60.8,519,785,66.1,8061,3375,47,47,11,43,17,1080,71,378,422,496,48,1631,1,1.6,1.7,-0.6,107.0,23.0,30.0,47.9,14.0,8.0,0.92,23.0,33.0,-10.0,-0.55,152.18081857055589,0.21991447770311545,0.0,3.793524740378741,2.1991447770311545,2.3091020158827122,0.9896151496640195,0.49480757483200977,3.4361637141111787,2.41905925473427,1.209529627367135,5.003054367745877,2.91386682956628,0.0,1.7043372021991448,1.0995723885155773,3.3427000610873545,28.53390348197923,43.1582162492364,3.634086744043983,443.18265119120343,185.5528405620037,2.5839951130116066,2.5839951130116066,0.6047648136835675,2.364080635308491,0.9346365302382408,59.376908979841176,3.9034819792302993,20.78191814294441,23.20097739767868,27.269395235186316,2.6389737324373854,89.67012828344532,0.05497861942577886,0.08796579108124618,0.09346365302382406,-0.032987171655467315,5.882712278558339,1.2645082467929138,1.6493585827733659,2.6334758704948076,0.7697006719609041,0.4398289554062309,0.05058032987171655,1.2645082467929138,1.8142944410507027,-0.5497861942577886,-0.03023824068417838
2094,Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,23.0,2000.0,DF,36,36,3238,36.0,9,1,72,48,42,28,2,81.3,53,45,117,158,1,81.0,44.0,64.8,1267,1599,79.2,24513,9872,119,119,7,114,8,1991,249,947,939,998,28,2854,0,0.2,0.4,-0.2,164.0,34.0,17.0,94.7,34.0,0.0,1.0,36.0,49.0,-13.0,-0.36,58.20259419394689,0.2501544163063619,0.027794935145151328,2.0012353304508954,1.3341568869672638,1.1673872760963557,0.7782581840642372,0.055589870290302656,2.259728227300803,1.4731315626930204,1.2507720815318097,3.2520074119827056,4.39159975293391,0.027794935145151328,2.2513897467572574,1.2229771463866586,1.801111797405806,35.21618282890673,44.44410129709698,2.2013588634959853,681.3372452130945,274.3915997529339,3.3075972822730084,3.3075972822730084,0.1945645460160593,3.1686226065472516,0.22235948116121063,55.33971587399629,6.92093885114268,26.32180358245831,26.0994441012971,27.739345274861027,0.7782581840642372,79.32674490426189,0.0,0.0055589870290302665,0.011117974058060533,-0.0055589870290302665,4.558369363804818,0.9450277949351451,0.47251389746757255,2.632180358245831,0.9450277949351451,0.0,0.027794935145151328,1.0006176652254477,1.361951822112415,-0.3613341568869673,-0.010006176652254478
1045,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,es La Liga,31.0,1991.0,DF,22,20,1742,19.4,7,0,31,24,18,10,3,54.8,17,27,58,56,0,41.0,21.0,66.1,914,1061,86.1,16667,5686,73,73,7,82,2,1245,90,519,634,662,23,2413,1,0.4,0.4,0.6,85.0,30.0,11.0,50.9,16.0,2.0,1.05,29.0,24.0,5.0,0.26,53.989667049368535,0.3616532721010333,0.0,1.6016073478760047,1.2399540757749712,0.9299655568312285,0.5166475315729048,0.1549942594718714,2.831228473019518,0.8783008036739379,1.3949483352468428,2.996555683122847,2.8932261768082665,0.0,2.1182548794489096,1.0849598163030998,3.4150401836968998,47.22158438576349,54.81630309988519,4.44833524684271,861.0964408725604,293.7657864523536,3.771526980482204,3.771526980482204,0.3616532721010333,4.236509758897819,0.10332950631458095,64.32261768082664,4.649827784156143,26.814006888633752,32.75545350172216,34.20206659012629,1.188289322617681,124.66704936854191,0.05166475315729047,0.02066590126291619,0.02066590126291619,0.03099885189437428,4.39150401836969,1.549942594718714,0.5683122847301951,2.6297359357060848,0.8266360505166476,0.10332950631458095,0.054247990815154995,1.4982778415614235,1.2399540757749712,0.2583237657864524,0.013432835820895522
342,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26.0,1996.0,DF,28,28,2516,28.0,3,1,48,24,25,18,5,44.4,28,57,105,84,0,37.0,45.0,45.1,1148,1422,80.7,18050,6542,88,88,25,62,17,1743,122,597,749,1131,58,3464,1,2.8,2.5,-1.8,156.0,21.0,24.0,82.2,27.0,0.0,0.75,22.0,50.0,-28.0,-1.0,12.233704292527822,0.10731319554848966,0.03577106518282989,1.7170111287758345,0.8585055643879173,0.8942766295707473,0.643879173290938,0.17885532591414943,1.588235294117647,1.0015898251192368,2.038950715421304,3.755961844197138,3.0047694753577106,0.0,1.3235294117647058,1.609697933227345,1.613275039745628,41.06518282988871,50.8664546899841,2.8867249602543725,645.6677265500795,234.01430842607314,3.14785373608903,3.14785373608903,0.8942766295707473,2.2178060413354532,0.6081081081081081,62.348966613672495,4.364069952305246,21.355325914149443,26.792527821939586,40.4570747217806,2.0747217806041336,123.91096979332274,0.03577106518282989,0.10015898251192368,0.08942766295707472,-0.0643879173290938,5.580286168521463,0.7511923688394276,0.8585055643879173,2.9403815580286166,0.965818759936407,0.0,0.026828298887122414,0.7869634340222575,1.7885532591414945,-1.0015898251192368,-0.03577106518282989
2126,Niccolò Pierozzi,it ITA,DF,Salernitana,it Serie A,21.0,2001.0,DF,12,11,871,9.7,6,0,17,11,13,4,0,50.0,24,11,28,36,0,17.0,9.0,65.4,264,348,75.9,4521,1389,16,16,1,14,2,463,46,192,220,188,3,401,0,0.0,0.1,0.0,36.0,28.0,10.0,25.5,6.0,1.0,0.33,8.0,20.0,-12.0,-1.24,219.67853042479908,0.6199770378874856,0.0,1.7566016073478758,1.1366245694603903,1.3432835820895521,0.4133180252583238,0.0,5.1664753157290475,2.4799081515499424,1.1366245694603903,2.8932261768082665,3.719862227324914,0.0,1.7566016073478758,0.9299655568312285,6.757749712973594,27.27898966704937,35.95866819747417,7.842709529276695,467.15269804822043,143.52468427095292,1.6532721010332951,1.6532721010332951,0.10332950631458095,1.4466130884041333,0.2066590126291619,47.84156142365097,4.753157290470724,19.83926521239954,22.732491389207805,19.425947187141215,0.3099885189437428,41.43513203214696,0.0,0.0,0.010332950631458095,0.0,3.719862227324914,2.8932261768082665,1.0332950631458095,2.634902411021814,0.6199770378874856,0.10332950631458095,0.03409873708381171,0.8266360505166476,2.066590126291619,-1.2399540757749712,-0.12812858783008035
