Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_per_90,CrdY_per_90,CrdR_per_90,Gls_per_90,Sh_shooting_per_90,SoT_per_90,SoT%_per_90,Sh/90_per_90,SoT/90_per_90,G/Sh_per_90,G/SoT_per_90,Dist_per_90,FK_shooting_per_90,xG_per_90,npxG_per_90,xG_shooting_per_90,npxG_shooting_per_90,npxG/Sh_per_90,G-xG_per_90,np:G-xG_per_90,PK_per_90,PKatt_per_90,Ast_per_90,KP_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,PPA_per_90,CrsPA_per_90,Touches_per_90,Att 3rd_possession_per_90,Att Pen_per_90,Att_possession_per_90,Succ_per_90,Succ%_per_90,Tkld_per_90,Tkld%_per_90,Carries_per_90,PrgC_per_90,PrgDist_possession_per_90,CPA_per_90,Mis_per_90,Dis_per_90,PrgR_per_90,PrgC_possession_per_90,1/3_possession_per_90,Cmp_per_90,Att_passing_per_90,Cmp%_per_90,PrgP_per_90,Fls_per_90,Fld_per_90,Recov_per_90,Won_per_90,Lost_misc_per_90,Won%_per_90,Min%_per_90,Compl_per_90,Subs_per_90,PPM_per_90,onG_per_90,onGA_per_90,+/-_per_90,+/-90_per_90,onxG_per_90,onxGA_per_90,xG+/-_per_90,xG+/-90_per_90
2026,Joaquín Panichelli,ar ARG,"FW,MF",Alavés,es La Liga,20.0,2002.0,FW,8,2,226,2.5,0,0,0,9.0,2.0,22.2,3.58,0.8,0.0,0.0,17.8,0.0,0.6,0.6,0.6,0.6,0.06,-0.6,-0.6,0,0,0,2,0.1,0.1,-0.1,1,0,81,32,7,1,0,0.0,0,0.0,36,3,76,1,14,7,10,3,0,29,46,63.0,6,8.0,4.0,10.0,17.0,5.0,77.3,6.6,0.0,6.0,1.0,3.0,4.0,-1.0,-0.4,4.0,3.4,0.6,0.25,806.8141592920355,0.0,0.0,0.0,3.584070796460177,0.7964601769911505,8.84070796460177,1.4256637168141593,0.31858407079646023,0.0,0.0,7.0884955752212395,0.0,0.23893805309734512,0.23893805309734512,0.23893805309734512,0.23893805309734512,0.02389380530973451,-0.23893805309734512,-0.23893805309734512,0.0,0.0,0.0,0.7964601769911505,0.03982300884955753,0.03982300884955753,-0.03982300884955753,0.39823008849557523,0.0,32.256637168141594,12.743362831858407,2.7876106194690267,0.39823008849557523,0.0,0.0,0.0,0.0,14.336283185840708,1.1946902654867257,30.26548672566372,0.39823008849557523,5.575221238938053,2.7876106194690267,3.982300884955752,1.1946902654867257,0.0,11.548672566371682,18.31858407079646,25.088495575221238,2.3893805309734515,3.185840707964602,1.592920353982301,3.982300884955752,6.76991150442478,1.991150442477876,30.783185840707965,2.6283185840707963,0.0,2.3893805309734515,0.39823008849557523,1.1946902654867257,1.592920353982301,-0.39823008849557523,-0.15929203539823011,1.592920353982301,1.3539823008849556,0.23893805309734512,0.09955752212389381
147,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24.0,1999.0,FW,20,10,848,9.4,2,0,2,6.0,3.0,50.0,0.64,0.32,0.33,0.67,15.4,0.0,0.6,0.6,0.6,0.6,0.1,1.4,1.4,0,0,1,8,0.3,0.3,0.7,6,3,263,101,11,35,12,34.3,19,54.3,178,14,475,0,26,17,43,14,13,94,147,63.9,16,18.0,22.0,32.0,17.0,15.0,53.1,27.7,0.0,10.0,0.6,6.0,13.0,-7.0,-0.74,8.7,12.4,-3.7,-0.39,15.601415094339623,0.2122641509433962,0.0,0.2122641509433962,0.6367924528301887,0.31839622641509435,5.306603773584905,0.06792452830188679,0.033962264150943396,0.035023584905660377,0.07110849056603774,1.6344339622641508,0.0,0.06367924528301887,0.06367924528301887,0.06367924528301887,0.06367924528301887,0.01061320754716981,0.14858490566037735,0.14858490566037735,0.0,0.0,0.1061320754716981,0.8490566037735848,0.031839622641509434,0.031839622641509434,0.07429245283018868,0.6367924528301887,0.31839622641509435,27.912735849056602,10.71933962264151,1.1674528301886793,3.714622641509434,1.2735849056603774,3.640330188679245,2.016509433962264,5.762971698113207,18.891509433962266,1.4858490566037736,50.4127358490566,0.0,2.759433962264151,1.8042452830188678,4.563679245283019,1.4858490566037736,1.3797169811320755,9.976415094339623,15.601415094339623,6.78183962264151,1.6981132075471697,1.910377358490566,2.3349056603773586,3.3962264150943393,1.8042452830188678,1.5919811320754718,5.635613207547171,2.9398584905660377,0.0,1.0613207547169812,0.06367924528301887,0.6367924528301887,1.3797169811320755,-0.7429245283018868,-0.0785377358490566,0.9233490566037735,1.3160377358490567,-0.392688679245283,-0.04139150943396227
2776,Jonas Wind,dk DEN,FW,Wolfsburg,de Bundesliga,24.0,1999.0,FW,34,31,2651,29.5,3,0,11,72.0,34.0,47.2,2.44,1.15,0.15,0.32,16.1,0.0,9.4,8.5,9.4,8.5,0.12,1.6,2.5,0,1,7,38,5.1,3.9,1.9,27,0,920,403,107,30,13,43.3,16,53.3,487,17,607,5,64,35,115,17,21,473,673,70.3,88,28.0,45.0,60.0,90.0,85.0,51.4,86.6,16.0,3.0,1.09,38.0,47.0,-9.0,-0.31,34.6,38.3,-3.8,-0.13,94.24368162957374,0.1018483591097699,0.0,0.37344398340248963,2.4443606186344775,1.154281403244059,1.6024141833270464,0.08283666540927952,0.03904187099207846,0.005092417955488495,0.01086382497170879,0.5465861938890986,0.0,0.3191248585439457,0.28857035081101473,0.3191248585439457,0.28857035081101473,0.004073934364390796,0.05431912485854395,0.08487363259147492,0.0,0.033949453036589965,0.23764617125612975,1.2900792153904188,0.1731422104866088,0.13240286684270086,0.06450396076952093,0.9166352319879291,0.0,31.23349679366277,13.681629573745758,3.6325914749151265,1.018483591097699,0.4413428894756696,1.4700113164843454,0.5431912485854394,1.809505846850245,16.533383628819315,0.5771407016220295,20.60731799321011,0.16974726518294983,2.1727649943417577,1.1882308562806487,3.9041870992078462,0.5771407016220295,0.7129385137683893,16.058091286307054,22.847981893625047,2.3866465484722745,2.987551867219917,0.950584685024519,1.5277253866465483,2.036967182195398,3.0554507732930967,2.885703508110147,1.7450018860807242,2.9400226329686907,0.5431912485854394,0.1018483591097699,0.03700490380988306,1.2900792153904188,1.5956242927197286,-0.3055450773293097,-0.01052433044134289,1.1746510750660129,1.3002640513013957,-0.12900792153904186,-0.0044134288947566954
404,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,de Bundesliga,23.0,2000.0,FW,21,18,1538,17.1,2,0,8,40.0,16.0,40.0,2.34,0.94,0.18,0.44,14.5,0.0,6.1,5.3,6.1,5.3,0.13,1.9,1.7,1,1,2,15,2.1,1.0,-0.1,8,5,594,292,73,57,23,40.4,29,50.9,391,36,924,10,52,37,101,36,25,266,394,67.5,28,19.0,36.0,65.0,13.0,73.0,15.1,50.3,10.0,3.0,1.19,24.0,20.0,4.0,0.23,25.2,20.8,4.4,0.26,23.641092327698306,0.11703511053315994,0.0,0.4681404421326398,2.3407022106631987,0.9362808842652796,2.3407022106631987,0.13693107932379714,0.05500650195058517,0.010533159947984394,0.02574772431729519,0.8485045513654096,0.0,0.35695708712613783,0.31014304291287387,0.35695708712613783,0.31014304291287387,0.007607282184655397,0.11118335500650195,0.09947984395318596,0.05851755526657997,0.05851755526657997,0.11703511053315994,0.8777633289986997,0.12288686605981795,0.05851755526657997,-0.005851755526657997,0.4681404421326398,0.29258777633289984,34.75942782834851,17.087126137841352,4.271781534460338,3.335500650195059,1.3459037711313393,2.364109232769831,1.6970091027308192,2.9785435630689205,22.880364109232772,2.1066319895968793,54.070221066319895,0.5851755526657997,3.042912873862159,2.1651495448634592,5.910273081924577,2.1066319895968793,1.4629388816644995,15.565669700910274,23.055916775032507,3.949934980494148,1.6384915474642392,1.1118335500650196,2.1066319895968793,3.803641092327698,0.7607282184655397,4.271781534460338,0.8836150845253575,2.9434330299089724,0.5851755526657997,0.17555266579973994,0.06963589076723017,1.4044213263979195,1.1703511053315994,0.2340702210663199,0.013459037711313394,1.4746423927178152,1.2171651495448634,0.2574772431729519,0.015214564369310794
646,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23.0,2000.0,FW,34,30,2629,29.2,4,0,19,76.0,43.0,56.6,2.6,1.47,0.22,0.4,14.1,0.0,17.5,15.0,17.5,15.0,0.2,1.5,2.0,2,3,4,32,3.3,2.3,0.7,26,1,908,404,128,39,15,38.5,19,48.7,712,47,1494,22,55,44,198,47,33,537,655,82.0,79,29.0,56.0,83.0,21.0,67.0,23.9,85.9,14.0,4.0,1.74,48.0,31.0,17.0,0.58,45.1,29.8,15.4,0.53,22.11487257512362,0.13693419551160138,0.0,0.6504374286801066,2.6017497147204263,1.4720426017497146,1.9376188664891594,0.0890072270825409,0.05032331685051351,0.007531380753138076,0.013693419551160138,0.48269303917839484,0.0,0.599087105363256,0.5135032331685051,0.599087105363256,0.5135032331685051,0.006846709775580069,0.051350323316850514,0.06846709775580069,0.06846709775580069,0.10270064663370103,0.13693419551160138,1.095473564092811,0.11297071129707113,0.07873716241917078,0.023963484214530237,0.890072270825409,0.034233548877900345,31.08406238113351,13.830353746671738,4.381894256371244,1.3351084062381133,0.5135032331685051,1.3179916317991631,0.6504374286801066,1.6671738303537469,24.374286801065043,1.608976797261316,51.14492202358311,0.7531380753138075,1.8828451882845187,1.506276150627615,6.778242677824268,1.608976797261316,1.1297071129707112,18.383415747432483,22.422974515024727,2.8071510079878284,2.704450361354127,0.99277291745911,1.917078737162419,2.8413845568657283,0.7189045264359072,2.293647774819323,0.8181818181818181,2.9406618486116396,0.47926968429060474,0.13693419551160138,0.05956637504754659,1.6432103461392165,1.0612400152149106,0.5819703309243058,0.0198554583491822,1.5439330543933056,1.0201597565614302,0.5271966527196653,0.018143780905287184
1179,Jonathan Ikone,fr FRA,FW,Fiorentina,it Serie A,25.0,1998.0,FW,28,18,1682,18.7,5,0,3,39.0,15.0,38.5,2.09,0.8,0.08,0.2,16.1,0.0,4.6,4.6,4.6,4.6,0.12,-1.6,-1.6,0,0,1,15,2.0,2.0,-1.0,20,1,641,346,84,46,21,45.7,20,43.5,433,51,1469,36,28,22,154,51,21,388,476,81.5,58,16.0,15.0,60.0,15.0,22.0,40.5,49.2,7.0,10.0,1.57,26.0,18.0,8.0,0.43,26.4,24.1,2.3,0.12,63.08561236623068,0.267538644470868,0.0,0.1605231866825208,2.0868014268727704,0.802615933412604,2.0600475624256838,0.11183115338882282,0.04280618311533888,0.004280618311533888,0.01070154577883472,0.8614744351961952,0.0,0.24613555291319855,0.24613555291319855,0.24613555291319855,0.24613555291319855,0.0064209274673008325,-0.08561236623067776,-0.08561236623067776,0.0,0.0,0.0535077288941736,0.802615933412604,0.1070154577883472,0.1070154577883472,-0.0535077288941736,1.070154577883472,0.0535077288941736,34.29845422116528,18.513674197384066,4.494649227110583,2.4613555291319855,1.1236623067776457,2.445303210463734,1.070154577883472,2.3275862068965516,23.16884661117717,2.728894173602854,78.60285374554103,1.9262782401902496,1.4982164090368608,1.1771700356718193,8.240190249702735,2.728894173602854,1.1236623067776457,20.76099881093936,25.469678953626637,4.360879904875149,3.103448275862069,0.8561236623067776,0.802615933412604,3.210463733650416,0.802615933412604,1.1771700356718193,2.167063020214031,2.6325802615933416,0.3745541022592152,0.535077288941736,0.08400713436385256,1.3912009512485137,0.9631391200951248,0.4280618311533888,0.023008323424494652,1.412604042806183,1.289536266349584,0.12306777645659928,0.0064209274673008325
166,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31.0,1991.0,FW,35,30,2543,28.3,9,1,4,48.0,19.0,39.6,1.7,0.67,0.08,0.21,18.2,0.0,3.9,3.9,3.9,3.9,0.08,0.1,0.1,0,0,7,25,4.2,2.7,2.8,26,10,1349,598,95,130,52,40.0,57,43.8,836,74,2119,20,85,80,173,74,55,681,920,74.0,63,46.0,94.0,155.0,33.0,61.0,35.1,74.4,17.0,5.0,1.29,33.0,37.0,-4.0,-0.14,31.8,35.2,-3.4,-0.12,5.87495084545812,0.3185214313802595,0.03539127015336217,0.1415650806134487,1.6987809673613843,0.6724341329138812,1.401494298073142,0.060165159260715695,0.023712151002752653,0.002831301612268974,0.007432166732206056,0.6441211167911914,0.0,0.13802595359811246,0.13802595359811246,0.13802595359811246,0.13802595359811246,0.002831301612268974,0.003539127015336217,0.003539127015336217,0.0,0.0,0.24773889107353522,0.8847817538340542,0.1486433346441211,0.09555642941407785,0.09909555642941408,0.9201730239874164,0.3539127015336217,47.742823436885566,21.16397955171058,3.362170664569406,4.600865119937082,1.8403460479748328,1.4156508061344868,2.0173023987416436,1.5501376327172631,29.587101848210775,2.6189539913488007,74.99410145497444,0.7078254030672434,3.008257963035785,2.8313016122689736,6.1226897365316555,2.6189539913488007,1.9465198584349195,24.10145497443964,32.5599685410932,2.6189539913488007,2.2296500196618165,1.62799842705466,3.326779394416044,5.485646873771136,1.1679119150609516,2.1588674793550924,1.2422335823830122,2.6331104994101455,0.601651592607157,0.17695635076681085,0.0456547384978372,1.1679119150609516,1.3094769956744003,-0.1415650806134487,-0.0049547778214707044,1.125442390876917,1.2457727093983486,-0.12033031852143139,-0.00424695241840346
2066,Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,27.0,1996.0,FW,26,18,1447,0.3,2,0,5,0.0,0.0,25.7,1.11,0.285,0.14,0.56,10.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,3,2,0.1,0.0,-0.1,0,0,12,6,3,0,0,23.1,0,69.2,5,0,0,0,4,1,1,0,0,2,5,59.3,0,2.0,0.0,0.0,0.0,2.0,25.55,23.65,0.0,1.0,2.0,1.0,0.0,1.0,1.57,0.2,1.1,-0.9,-3.07,128.50034554250175,0.1243953006219765,0.0,0.31098825155494125,0.0,0.0,1.5984796129923982,0.06903939184519697,0.01772633033863165,0.008707671043538355,0.03483068417415342,0.677954388389772,0.0,0.0,0.0,0.0,0.0,0.01243953006219765,0.0,0.0,0.0,0.0,0.18659295093296477,0.1243953006219765,0.006219765031098825,0.0,-0.006219765031098825,0.0,0.0,0.7463718037318591,0.37318590186592954,0.18659295093296477,0.0,0.0,1.4367657221838286,0.0,4.304077401520387,0.31098825155494125,0.0,0.0,0.0,0.248790601243953,0.06219765031098825,0.06219765031098825,0.0,0.0,0.1243953006219765,0.31098825155494125,3.688320663441603,0.0,0.1243953006219765,0.0,0.0,0.0,0.1243953006219765,1.58914996544575,1.470974429854872,0.0,0.06219765031098825,0.1243953006219765,0.06219765031098825,0.0,0.06219765031098825,0.09765031098825155,0.01243953006219765,0.06841741534208708,-0.05597788527988943,-0.19094678645473395
1696,Jordi Mboula,es ESP,"FW,MF",Hellas Verona,it Serie A,24.0,1999.0,FW,11,5,307,3.4,0,0,0,4.0,1.0,25.0,1.17,0.29,0.0,0.0,15.9,0.0,0.2,0.2,0.2,0.2,0.05,-0.2,-0.2,0,0,1,3,0.4,0.1,0.6,0,0,98,49,11,5,2,40.0,2,40.0,66,10,225,5,8,7,22,10,2,46,69,66.7,4,5.0,4.0,6.0,4.0,14.0,22.2,9.0,0.0,6.0,1.27,2.0,5.0,-3.0,-0.88,2.6,3.8,-1.2,-0.36,497.1986970684039,0.0,0.0,0.0,1.1726384364820848,0.2931596091205212,7.328990228013029,0.34299674267100977,0.08501628664495113,0.0,0.0,4.6612377850162865,0.0,0.05863192182410424,0.05863192182410424,0.05863192182410424,0.05863192182410424,0.01465798045602606,-0.05863192182410424,-0.05863192182410424,0.0,0.0,0.2931596091205212,0.8794788273615635,0.11726384364820848,0.02931596091205212,0.1758957654723127,0.0,0.0,28.72964169381107,14.364820846905536,3.224755700325733,1.4657980456026058,0.5863192182410424,11.726384364820847,0.5863192182410424,11.726384364820847,19.348534201954397,2.9315960912052117,65.96091205211727,1.4657980456026058,2.3452768729641695,2.0521172638436482,6.449511400651466,2.9315960912052117,0.5863192182410424,13.485342019543975,20.22801302931596,19.553745928338763,1.1726384364820848,1.4657980456026058,1.1726384364820848,1.758957654723127,1.1726384364820848,4.1042345276872965,6.508143322475569,2.6384364820846904,0.0,1.758957654723127,0.3723127035830619,0.5863192182410424,1.4657980456026058,-0.8794788273615635,-0.2579804560260586,0.762214983713355,1.1140065146579803,-0.3517915309446254,-0.1055374592833876
911,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,26.0,1997.0,FW,36,14,1549,17.2,1,0,2,29.0,11.0,37.9,1.68,0.64,0.07,0.18,17.8,0.0,2.6,2.6,2.6,2.6,0.09,-0.6,-0.6,0,0,0,17,1.4,1.2,-1.4,20,8,668,333,49,49,15,30.6,25,51.0,380,42,1383,12,33,15,144,42,29,344,483,71.2,40,15.0,25.0,81.0,14.0,18.0,43.8,45.3,2.0,22.0,0.97,12.0,21.0,-9.0,-0.52,18.8,17.4,1.4,0.08,52.930923176242736,0.05810200129115558,0.0,0.11620400258231116,1.684958037443512,0.6391220142027114,2.2020658489347964,0.09761136216914137,0.037185280826339574,0.0040671400903808915,0.010458360232408006,1.0342156229825694,0.0,0.15106520335700452,0.15106520335700452,0.15106520335700452,0.15106520335700452,0.005229180116204003,-0.034861200774693346,-0.034861200774693346,0.0,0.0,0.0,0.9877340219496449,0.08134280180761781,0.06972240154938669,-0.08134280180761781,1.1620400258231116,0.46481601032924463,38.812136862491926,19.34796642995481,2.8469980632666236,2.8469980632666236,0.8715300193673337,1.777921239509361,1.4525500322788898,2.963202065848935,22.078760490639123,2.4402840542285347,80.35506778566817,0.697224015493867,1.9173660426081343,0.8715300193673337,8.366688185926403,2.4402840542285347,1.684958037443512,19.98708844415752,28.06326662362815,4.136862491930278,2.324080051646223,0.8715300193673337,1.4525500322788898,4.706262104583602,0.8134280180761783,1.0458360232408004,2.5448676565526145,2.6320206584893477,0.11620400258231116,1.2782440284054228,0.05635894125242091,0.697224015493867,1.2201420271142673,-0.5229180116204002,-0.030213040671400904,1.092317624273725,1.010974822466107,0.08134280180761781,0.004648160103292447
1249,Joselu,es ESP,FW,Real Madrid,es La Liga,33.0,1990.0,FW,34,15,1687,18.7,1,0,10,61.0,28.0,45.9,3.25,1.49,0.16,0.36,12.8,0.0,11.6,10.0,11.6,10.0,0.16,-1.6,0.0,0,2,2,12,1.7,2.0,0.3,3,0,514,238,99,14,6,42.9,7,50.0,292,15,353,12,29,9,98,15,8,260,360,72.2,20,10.0,14.0,36.0,41.0,34.0,54.7,49.3,10.0,19.0,2.5,51.0,10.0,41.0,2.19,38.5,17.4,21.1,1.12,66.63307646710136,0.053349140486069944,0.0,0.5334914048606995,3.254297569650267,1.4937759336099585,2.4487255483106107,0.17338470657972732,0.07949021932424423,0.008535862477771192,0.01920569057498518,0.6828689982216953,0.0,0.6188500296384114,0.5334914048606995,0.6188500296384114,0.5334914048606995,0.008535862477771192,-0.08535862477771192,0.0,0.0,0.10669828097213989,0.10669828097213989,0.6401896858328393,0.09069353882631889,0.10669828097213989,0.016004742145820983,0.16004742145820983,0.0,27.42145820983995,12.697095435684647,5.281564908120925,0.7468879668049793,0.32009484291641965,2.2886781268524006,0.37344398340248963,2.667457024303497,15.577949021932424,0.8002371072910491,18.83224659158269,0.6401896858328393,1.5471250740960285,0.48014226437462953,5.228215767634855,0.8002371072910491,0.42679312388855956,13.870776526378187,19.20569057498518,3.8518079430942502,1.066982809721399,0.5334914048606995,0.7468879668049793,1.9205690574985181,2.187314759928868,1.8138707765263784,2.9181979845880264,2.630112625963248,0.5334914048606995,1.013633669235329,0.13337285121517486,2.7208061647895674,0.5334914048606995,2.187314759928868,0.11683461766449318,2.0539419087136928,0.9282750444576171,1.1256668642560759,0.05975103734439835
2839,Joshua Zirkzee,nl NED,FW,Bologna,it Serie A,22.0,2001.0,FW,34,32,2759,30.7,8,0,11,84.0,29.0,34.5,2.74,0.95,0.11,0.31,17.8,3.0,9.0,7.4,9.0,7.4,0.09,2.0,1.6,2,2,4,43,5.2,2.5,-1.2,28,0,1374,630,136,128,52,40.6,72,56.3,814,53,1772,22,114,64,182,53,46,710,917,77.4,86,29.0,27.0,103.0,29.0,39.0,42.6,80.7,15.0,2.0,1.88,44.0,25.0,19.0,0.62,37.6,29.8,7.8,0.25,92.60964117433853,0.26096411743385284,0.0,0.35882566147154765,2.7401232330554546,0.9459949256977165,1.1254077564334903,0.0893802102210946,0.030989488945270025,0.003588256614715476,0.010112359550561799,0.5806451612903226,0.09786154403769481,0.29358463211308444,0.24139180862631388,0.29358463211308444,0.24139180862631388,0.0029358463211308443,0.06524102935846321,0.05219282348677057,0.06524102935846321,0.06524102935846321,0.13048205871692642,1.402682131206959,0.16962667633200434,0.08155128669807901,-0.039144617615077926,0.9133744110184849,0.0,44.82058716926422,20.550924247915912,4.436389996375498,4.175425878941645,1.6962667633200434,1.3243928959768032,2.3486770569046755,1.8365349764407393,26.553098948894526,1.728887277999275,57.803552011598406,0.7176513229430953,3.718738673432403,2.0877129394708227,5.936933671620152,1.728887277999275,1.500543675244654,23.16056542225444,29.913011960855385,2.5248278361725265,2.805364262413918,0.9459949256977165,0.8807538963392534,3.359913011960855,0.9459949256977165,1.2722000724900326,1.3896339253352663,2.6324755346139908,0.48930772018847407,0.06524102935846321,0.061326567596955414,1.4353026458861906,0.8155128669807901,0.6197897789054005,0.020224719101123598,1.2265313519391083,0.9720913374411019,0.2544400144980065,0.008155128669807901
376,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,25.0,1998.0,FW,11,8,652,7.2,0,0,1,9.0,4.0,44.4,1.24,0.55,0.11,0.25,19.3,0.0,0.4,0.4,0.4,0.4,0.04,0.6,0.6,0,0,0,6,0.3,0.7,-0.3,11,3,346,168,18,18,8,44.4,9,50.0,231,14,542,7,10,3,69,14,11,234,291,80.4,25,13.0,6.0,26.0,1.0,4.0,20.0,19.1,2.0,3.0,1.82,13.0,11.0,2.0,0.28,7.0,9.5,-2.5,-0.34,51.90184049079755,0.0,0.0,0.13803680981595093,1.2423312883435582,0.5521472392638037,6.128834355828221,0.17116564417177912,0.07592024539877301,0.0151840490797546,0.03450920245398773,2.664110429447853,0.0,0.05521472392638037,0.05521472392638037,0.05521472392638037,0.05521472392638037,0.005521472392638037,0.08282208588957055,0.08282208588957055,0.0,0.0,0.0,0.8282208588957056,0.04141104294478527,0.09662576687116563,-0.04141104294478527,1.51840490797546,0.4141104294478528,47.76073619631902,23.190184049079754,2.4846625766871164,2.4846625766871164,1.1042944785276074,6.128834355828221,1.2423312883435582,6.901840490797547,31.886503067484664,1.932515337423313,74.8159509202454,0.9662576687116565,1.3803680981595092,0.4141104294478528,9.524539877300613,1.932515337423313,1.51840490797546,32.30061349693251,40.168711656441715,11.098159509202455,3.4509202453987733,1.7944785276073618,0.8282208588957056,3.5889570552147236,0.13803680981595093,0.5521472392638037,2.7607361963190185,2.6365030674846626,0.27607361963190186,0.4141104294478528,0.25122699386503067,1.7944785276073618,1.51840490797546,0.27607361963190186,0.03865030674846626,0.9662576687116565,1.3113496932515336,-0.3450920245398773,-0.04693251533742331
479,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,21.0,2001.0,FW,30,25,2016,22.4,6,0,0,22.0,4.0,18.2,0.98,0.18,0.0,0.0,18.3,0.0,1.9,1.9,1.9,1.9,0.09,-1.9,-1.9,0,0,5,31,4.3,3.0,0.7,19,5,1022,391,49,64,23,35.9,37,57.8,675,59,1870,22,43,25,138,59,35,572,781,73.2,62,25.0,28.0,107.0,21.0,25.0,45.7,65.9,6.0,5.0,0.9,20.0,29.0,-9.0,-0.4,23.7,31.3,-7.6,-0.34,21.38392857142857,0.26785714285714285,0.0,0.0,0.9821428571428571,0.17857142857142855,0.8124999999999999,0.04375,0.008035714285714285,0.0,0.0,0.8169642857142858,0.0,0.08482142857142856,0.08482142857142856,0.08482142857142856,0.08482142857142856,0.0040178571428571425,-0.08482142857142856,-0.08482142857142856,0.0,0.0,0.2232142857142857,1.3839285714285714,0.1919642857142857,0.13392857142857142,0.031249999999999997,0.8482142857142857,0.2232142857142857,45.625,17.455357142857142,2.1875,2.8571428571428568,1.0267857142857142,1.6026785714285714,1.6517857142857144,2.580357142857143,30.13392857142857,2.6339285714285716,83.48214285714286,0.9821428571428571,1.9196428571428572,1.1160714285714286,6.1607142857142865,2.6339285714285716,1.5625,25.535714285714285,34.86607142857143,3.2678571428571432,2.767857142857143,1.1160714285714286,1.25,4.776785714285714,0.9375,1.1160714285714286,2.0401785714285716,2.941964285714286,0.26785714285714285,0.2232142857142857,0.040178571428571425,0.8928571428571428,1.294642857142857,-0.40178571428571425,-0.017857142857142856,1.0580357142857142,1.3973214285714286,-0.33928571428571425,-0.01517857142857143
136,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28.0,1995.0,FW,26,9,929,10.3,3,0,2,29.0,9.0,31.0,2.81,0.87,0.07,0.22,22.7,5.0,1.7,1.7,1.7,1.7,0.06,0.3,0.3,0,0,1,14,1.8,1.6,-0.8,5,1,449,256,30,29,11,37.9,15,51.7,259,23,747,7,27,24,85,23,20,233,318,73.3,11,8.0,19.0,39.0,11.0,14.0,44.0,27.2,0.0,17.0,1.04,11.0,16.0,-5.0,-0.48,10.6,15.1,-4.5,-0.44,13.17545748116254,0.2906350914962325,0.0,0.193756727664155,2.8094725511302476,0.8719052744886975,3.0032292787944024,0.2722282023681378,0.08428417653390742,0.006781485468245426,0.02131324004305705,2.1991388589881593,0.48439181916038754,0.16469321851453175,0.16469321851453175,0.16469321851453175,0.16469321851453175,0.00581270182992465,0.02906350914962325,0.02906350914962325,0.0,0.0,0.0968783638320775,1.356297093649085,0.1743810548977395,0.155005382131324,-0.077502691065662,0.48439181916038754,0.0968783638320775,43.4983853606028,24.80086114101184,2.906350914962325,2.8094725511302476,1.0656620021528525,3.671689989235737,1.4531754574811624,5.008611410118408,25.09149623250807,2.2282023681377825,72.3681377825619,0.6781485468245425,2.6157158234660924,2.32508073196986,8.234660925726587,2.2282023681377825,1.9375672766415502,22.572658772874057,30.807319698600647,7.10118406889128,1.0656620021528525,0.77502691065662,1.8406889128094726,3.7782561894510223,1.0656620021528525,1.356297093649085,4.26264800861141,2.635091496232508,0.0,1.6469321851453176,0.10075349838536062,1.0656620021528525,1.55005382131324,-0.48439181916038754,-0.0465016146393972,1.0269106566200215,1.4628632938643702,-0.43595263724434874,-0.0426264800861141
