Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1457,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32,1991,37.0,2031,1850,167,117,1,35,7,4,1,1,0,0,1636,14,13,Matches
1458,Stefan Lekovic,rs SRB,DF,Villarreal,es La Liga,19,2004,0.3,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
1459,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30,1993,22.2,1273,1036,233,23,2,4,37,207,0,0,0,0,1012,4,29,Matches
1460,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27,1995,1.8,84,81,3,0,1,0,6,1,2,2,0,0,71,0,0,Matches
1461,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29,1993,33.0,1470,1432,31,21,8,12,15,9,0,0,0,0,1261,7,9,Matches
1462,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30,1993,2.8,185,146,39,4,0,1,5,35,0,0,0,0,145,0,6,Matches
1463,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20,2003,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
1464,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28,1995,12.8,918,859,58,40,0,8,3,4,0,0,0,0,822,1,3,Matches
1465,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38.0,1577,1281,292,91,0,2,0,0,0,0,0,0,1250,4,0,Matches
1466,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,28,1994,0.5,49,37,12,2,0,0,5,8,2,0,1,0,38,0,1,Matches
1467,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28,1994,0.1,9,6,3,2,0,0,0,1,0,0,0,0,5,0,0,Matches
1468,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20,2002,2.8,186,179,6,5,1,0,2,1,0,0,0,0,165,1,4,Matches
1469,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28,1994,26.7,1250,1209,36,30,8,13,14,6,0,0,0,0,1018,5,20,Matches
1470,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23,2000,5.5,184,183,0,0,1,3,1,0,0,0,0,0,132,1,6,Matches
