Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
258,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29,1994,19.1,0,2,2,100.0,0.10,0.10,0.00,0.00,18.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
259,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31,1991,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
260,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
261,Raoul Bellanova,it ITA,DF,Torino,it Serie A,23,2000,33.8,1,32,3,9.4,0.95,0.09,0.03,0.33,16.6,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
262,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,eng Premier League,25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.40,16.5,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches
263,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Strasbourg,fr Ligue 1,25,1998,3.0,2,5,3,60.0,1.67,1.00,0.40,0.67,22.5,2,0,0,0.6,0.6,0.11,+1.4,+1.4,Matches
264,Héctor Bellerín,es ESP,DF,Betis,es La Liga,28,1995,19.0,0,2,0,0.0,0.11,0.00,0.00,,18.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
265,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,20,2003,25.7,19,62,34,54.8,2.41,1.32,0.29,0.53,14.8,0,1,1,11.1,10.3,0.17,+7.9,+7.7,Matches
266,Jeanuël Belocian,fr FRA,DF,Rennes,fr Ligue 1,18,2005,16.1,0,3,0,0.0,0.19,0.00,0.00,,11.3,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
267,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,29,1993,10.5,3,33,9,27.3,3.13,0.85,0.09,0.33,13.9,0,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
268,Andrea Belotti,it ITA,FW,Roma,it Serie A,29,1993,7.5,3,15,8,53.3,1.99,1.06,0.20,0.38,13.9,0,0,0,2.4,2.4,0.16,+0.6,+0.6,Matches
269,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,24,1999,27.0,0,21,3,14.3,0.78,0.11,0.00,0.00,25.8,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
270,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,22,2001,18.8,6,30,7,23.3,1.60,0.37,0.17,0.71,15.5,0,1,1,3.8,3.0,0.10,+2.2,+2.0,Matches
271,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,18,2005,4.8,2,14,4,28.6,2.94,0.84,0.14,0.50,19.8,1,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
272,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,eng Premier League,22,2001,4.7,0,8,3,37.5,1.72,0.64,0.00,0.00,18.2,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
273,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,32,1990,25.7,16,63,29,46.0,2.45,1.13,0.24,0.52,11.5,0,1,1,12.4,11.6,0.18,+3.6,+3.4,Matches
274,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,19.8,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches
275,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,25,1997,12.8,2,11,1,9.1,0.86,0.08,0.09,1.00,21.6,1,1,1,1.7,0.9,0.08,+0.3,+0.1,Matches
