Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
882,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,1993,36.5,3,0,0,2,4,0,0,0,1,0,1,0,41,10,1,90.9,Matches
883,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32,1991,19.2,5,0,0,11,9,2,122,20,21,0,0,0,97,7,17,29.2,Matches
884,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23,2000,31.7,2,0,0,14,60,5,89,13,20,0,1,0,127,6,17,26.1,Matches
885,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,1991,29.4,2,0,0,1,12,0,0,0,3,0,0,1,31,1,1,50.0,Matches
886,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,2005,6.2,0,0,0,3,11,0,20,5,4,1,0,0,18,0,7,0.0,Matches
887,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,24,1999,30.0,3,0,0,37,33,1,14,37,39,0,1,1,230,17,16,51.5,Matches
888,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,27,1996,31.0,2,0,0,15,17,2,73,31,24,0,0,1,148,37,22,62.7,Matches
889,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,28,1994,20.4,9,1,1,26,13,4,37,25,17,0,0,0,97,16,19,45.7,Matches
890,Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,it Serie A,25,1998,30.9,5,0,0,50,74,11,64,17,28,1,0,0,145,75,78,49.0,Matches
891,Tiago Fonseca Morais,pt POR,FW,Lille,fr Ligue 1,19,2003,0.5,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,,Matches
892,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27,1996,4.7,0,0,0,3,5,1,8,6,6,0,0,0,26,3,6,33.3,Matches
893,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,27,1996,12.8,2,0,0,13,14,4,51,22,16,0,0,0,72,11,9,55.0,Matches
894,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31,1991,5.2,0,0,0,4,9,0,8,0,3,0,0,0,19,2,3,40.0,Matches
895,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19,2004,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
896,Philipp Förster,de GER,"MF,FW",Bochum,de Bundesliga,28,1995,4.3,1,0,0,6,9,0,28,7,5,0,0,0,27,2,7,22.2,Matches
897,Héctor Fort,es ESP,DF,Barcelona,es La Liga,16,2006,3.5,0,0,0,8,1,1,6,2,5,0,0,0,16,0,3,0.0,Matches
898,Lyle Foster,za RSA,"FW,MF",Burnley,eng Premier League,22,2000,21.1,0,1,0,24,11,14,3,3,10,0,0,0,51,50,106,32.1,Matches
899,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30,1993,20.5,3,0,0,24,28,2,42,16,22,0,0,0,111,10,17,37.0,Matches
900,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,25,1998,11.8,1,0,0,18,7,0,18,12,15,0,0,0,58,26,16,61.9,Matches
901,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,19,2004,2.6,1,0,0,6,2,2,14,1,3,1,0,0,17,1,5,16.7,Matches
902,Bartol Franjić,hr CRO,MF,Darmstadt 98,de Bundesliga,23,2000,13.7,5,0,0,20,2,0,4,30,12,0,0,0,63,17,19,47.2,Matches
903,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28,1995,24.4,4,0,0,33,12,0,118,25,39,0,0,0,96,17,26,39.5,Matches
