Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0,Matches
32,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0,Matches
35,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,47,2.20,43,1,1,2,0,0,5,0.23,5,0,0,0,0,0,Matches
38,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,9,2.30,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,Matches
40,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0,Matches
42,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0,Matches
43,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0,Matches
44,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,13,1.30,12,0,0,0,1,0,1,0.10,0,0,0,0,1,0,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,Matches
