Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
80,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,45,29,16,22,7,23,51,45.1,28,21,2,19,14,59,10,0,Matches
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,5,3,2,3,0,3,4,75.0,1,2,0,2,4,9,6,0,Matches
82,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,16,7,9,6,1,9,24,37.5,15,18,5,13,5,21,18,0,Matches
83,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,15,8,8,6,1,11,23,47.8,12,12,1,11,9,24,10,0,Matches
84,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,80,39,47,26,7,31,66,47.0,35,59,20,39,42,122,81,0,Matches
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,68,37,43,20,5,37,57,64.9,20,40,11,29,35,103,80,0,Matches
86,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,14,9,8,3,3,9,20,45.0,11,4,1,3,5,19,9,0,Matches
87,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1,Matches
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,12.8,18,9,15,3,0,12,19,63.2,7,8,5,3,11,29,34,1,Matches
89,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,4.7,8,7,5,2,1,2,9,22.2,7,5,1,4,2,10,5,0,Matches
90,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,1.4,6,4,1,5,0,3,3,100.0,0,3,1,2,1,7,1,0,Matches
91,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,9.9,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0,Matches
92,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,6.7,17,12,7,7,3,3,9,33.3,6,13,0,13,11,28,6,0,Matches
93,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,4.4,9,6,7,2,0,2,10,20.0,8,2,0,2,3,12,6,0,Matches
94,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
95,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,1.0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,2,0,Matches
96,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0,Matches
97,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,8.9,16,7,12,4,0,11,15,73.3,4,6,0,6,7,23,28,0,Matches
