Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1418,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,31,1991,33.0,78,51,39,28,11,30,56,53.6,26,27,6,21,28,106,75,1,Matches
1419,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,9.4,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,Matches
1420,Mathis Lambourde,fr FRA,FW,Rennes,fr Ligue 1,17,2006,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
1421,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,31,1992,5.1,21,14,4,10,7,10,15,66.7,5,12,0,12,1,22,5,0,Matches
1422,Mohamed Lamine Bayo,gn GUI,FW,Le Havre,fr Ligue 1,25,1998,15.4,13,5,2,5,6,2,10,20.0,8,8,1,7,2,15,11,0,Matches
1423,Didier Lamkel Zé,cm CMR,"FW,MF",Metz,fr Ligue 1,26,1996,6.1,7,2,2,4,1,2,5,40.0,3,4,0,4,0,7,11,0,Matches
1424,Tariq Lamptey,gh GHA,"DF,FW",Brighton,eng Premier League,22,2000,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0,Matches
1425,Bruno Langa,mz MOZ,DF,Almería,es La Liga,25,1997,9.1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,Matches
1426,Gianluca Lapadula,pe PER,FW,Cagliari,it Serie A,33,1990,13.4,1,1,0,0,1,1,10,10.0,9,2,1,1,2,3,5,0,Matches
1427,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,29,1994,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Matches
1428,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29,1993,20.2,23,14,15,7,1,16,36,44.4,20,36,26,10,11,34,116,1,Matches
1429,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,28,1995,20.3,17,8,6,4,7,2,7,28.6,5,16,5,11,3,20,17,0,Matches
1430,Yasser Larouci,dz ALG,DF,Sheffield Utd,eng Premier League,22,2001,5.9,17,9,10,5,2,10,14,71.4,4,6,1,5,7,24,20,1,Matches
1431,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,19,2004,21.0,32,18,18,10,4,15,28,53.6,13,34,7,27,29,61,30,1,Matches
1432,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29,1993,12.0,14,9,7,7,0,6,11,54.5,5,17,12,5,5,19,42,0,Matches
1433,Juanmi Latasa,es ESP,FW,Getafe,es La Liga,22,2001,17.3,9,7,0,6,3,1,11,9.1,10,9,0,9,4,13,21,0,Matches
1434,Toni Lato,es ESP,DF,Mallorca,es La Liga,25,1997,17.2,38,23,19,13,6,16,27,59.3,11,17,3,14,17,55,27,0,Matches
1435,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24,1998,32.3,31,20,8,14,9,13,44,29.5,31,29,4,25,15,46,11,0,Matches
1436,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,19,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
1437,Lázaro,br BRA,"FW,MF",Almería,es La Liga,21,2002,3.2,4,1,2,0,2,2,8,25.0,6,4,0,4,1,5,1,0,Matches
1438,Valentino Lazaro,at AUT,"DF,MF",Torino,it Serie A,27,1996,22.2,18,11,7,9,2,13,19,68.4,6,14,1,13,8,26,29,0,Matches
1439,Darko Lazović,rs SRB,"FW,MF",Hellas Verona,it Serie A,32,1990,21.4,26,16,11,6,9,16,31,51.6,15,10,1,9,6,32,14,0,Matches
1440,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29,1993,18.6,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,Matches
1441,Théo Le Bris,fr FRA,"DF,MF",Lorient,fr Ligue 1,20,2002,16.8,35,22,25,7,3,19,40,47.5,21,24,3,21,12,47,42,0,Matches
1442,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,25,1997,5.3,19,11,11,7,1,8,12,66.7,4,6,3,3,13,32,26,0,Matches
1443,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,25,1997,0.6,6,2,4,2,0,4,9,44.4,5,2,1,1,0,6,0,0,Matches
1444,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,25,1998,18.0,21,10,7,9,5,11,26,42.3,15,14,1,13,2,23,10,0,Matches
1445,Enzo Le Fée,fr FRA,MF,Rennes,fr Ligue 1,23,2000,17.0,50,35,23,17,10,23,47,48.9,24,17,3,14,19,69,20,0,Matches
1446,Vincent Le Goff,fr FRA,"DF,MF",Lorient,fr Ligue 1,33,1989,6.0,5,0,4,0,1,4,8,50.0,4,11,3,8,3,8,10,0,Matches
1447,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,26,1996,27.4,31,22,16,15,0,17,30,56.7,13,26,15,11,28,59,96,1,Matches
1448,Nicola Leali,it ITA,GK,Genoa,it Serie A,30,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1449,Rafael Leão,pt POR,FW,Milan,it Serie A,24,1999,27.9,16,10,3,8,5,8,13,61.5,5,15,1,14,9,25,19,0,Matches
1450,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24,1999,0.6,0,0,0,0,0,0,3,0.0,3,2,1,1,0,0,1,0,Matches
1451,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,37,1985,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
1452,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32,1991,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,16,1,Matches
1453,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30,1993,33.9,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,15,3,Matches
1454,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,30,1993,28.0,96,67,51,41,4,49,129,38.0,80,61,11,50,43,139,64,3,Matches
1455,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24,1999,30.0,52,36,31,15,6,25,51,49.0,26,48,22,26,47,99,155,1,Matches
1456,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,25,1998,4.2,6,3,5,1,0,3,6,50.0,3,2,0,2,4,10,13,0,Matches
1457,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32,1991,37.0,39,25,26,11,2,19,30,63.3,11,33,18,15,23,62,155,1,Matches
1458,Stefan Lekovic,rs SRB,DF,Villarreal,es La Liga,19,2004,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Matches
1459,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30,1993,22.2,40,22,25,10,5,27,53,50.9,26,24,6,18,15,55,50,0,Matches
1460,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27,1995,1.8,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,Matches
1461,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29,1993,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0,Matches
1462,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30,1993,2.8,4,1,1,3,0,0,2,0.0,2,3,1,2,2,6,4,0,Matches
1463,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20,2003,0.1,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,Matches
1464,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28,1995,12.8,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1,Matches
1465,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,Matches
1466,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,28,1994,0.5,2,1,2,0,0,1,1,100.0,0,0,0,0,2,4,2,0,Matches
1467,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28,1994,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
1468,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20,2002,2.8,4,3,2,2,0,1,8,12.5,7,5,0,5,4,8,0,0,Matches
1469,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28,1994,26.7,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0,Matches
1470,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23,2000,5.5,19,10,8,8,3,6,21,28.6,15,12,3,9,7,26,8,0,Matches
1471,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34,1988,30.6,8,5,0,6,2,4,12,33.3,8,13,4,9,9,17,18,0,Matches
1472,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22,2001,16.9,18,10,4,6,8,5,17,29.4,12,21,1,20,5,23,13,0,Matches
1473,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18,2004,9.0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0,Matches
1474,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22,2001,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0,Matches
1475,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27,1996,14.1,20,13,14,5,1,13,23,56.5,10,18,11,7,14,34,51,0,Matches
1476,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23,1999,15.4,15,12,4,8,3,6,11,54.5,5,14,10,4,19,34,52,0,Matches
1477,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29,1994,14.8,15,10,8,7,0,5,13,38.5,8,18,9,9,12,27,40,1,Matches
1478,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23,2000,4.8,8,3,2,3,3,4,8,50.0,4,3,0,3,2,10,6,0,Matches
1479,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23,2000,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
1480,Karol Linetty,pl POL,MF,Torino,it Serie A,28,1995,20.6,30,21,9,20,1,9,29,31.0,20,24,8,16,23,53,27,1,Matches
1481,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,23,1999,23.1,61,34,32,17,12,35,70,50.0,35,37,1,36,14,75,27,0,Matches
1482,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18,2005,4.3,9,7,4,3,2,3,11,27.3,8,9,2,7,6,15,7,0,Matches
1483,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25,1997,17.1,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,Matches
1484,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1485,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20,2002,14.6,23,13,15,6,2,10,21,47.6,11,16,7,9,25,48,41,1,Matches
1486,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25,1997,22.8,43,27,20,18,5,20,43,46.5,23,22,2,20,18,61,11,0,Matches
1487,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,20,2002,2.7,3,1,1,1,1,1,2,50.0,1,1,0,1,3,6,4,0,Matches
1488,Diego Llorente,es ESP,DF,Roma,it Serie A,29,1993,24.1,31,19,20,10,1,11,24,45.8,13,40,27,13,22,53,79,0,Matches
1489,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28,1995,28.5,40,23,18,17,5,16,44,36.4,28,36,11,25,14,54,35,0,Matches
1490,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28,1995,30.9,50,28,40,9,1,28,42,66.7,14,50,30,20,32,82,142,1,Matches
1491,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,2.2,3,1,2,1,0,1,4,25.0,3,5,2,3,4,7,8,0,Matches
1492,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27,1996,5.6,22,13,10,8,4,9,14,64.3,5,4,1,3,5,27,2,0,Matches
1493,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28,1994,36.5,61,39,18,30,13,24,60,40.0,36,30,8,22,30,91,29,0,Matches
1494,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,1998,33.4,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0,Matches
1495,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21,2002,32.9,97,55,57,34,6,47,80,58.8,33,28,1,27,40,137,69,0,Matches
1496,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,1994,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,Matches
1497,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25,1998,13.7,24,16,8,13,3,13,21,61.9,8,7,2,5,16,40,35,0,Matches
1498,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27,1996,23.0,28,18,7,14,7,15,27,55.6,12,24,12,12,9,37,10,1,Matches
1499,Elysée Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19,2004,2.8,0,0,0,0,0,0,3,0.0,3,7,3,4,0,0,2,0,Matches
1500,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22,2000,19.9,62,35,15,34,13,20,42,47.6,22,20,2,18,12,74,16,1,Matches
1501,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25,1997,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0,Matches
1502,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,21.0,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1,Matches
1503,Noah Loosli,ch SUI,DF,Bochum,de Bundesliga,26,1997,3.8,10,7,6,4,0,7,14,50.0,7,7,1,6,7,17,18,0,Matches
1504,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,0,Matches
1505,David López,es ESP,DF,Girona,es La Liga,33,1989,21.8,33,20,21,12,0,17,22,77.3,5,28,19,9,20,53,63,4,Matches
1506,Diego López,es ESP,"MF,FW",Valencia,es La Liga,21,2002,29.5,37,25,14,16,7,13,56,23.2,43,23,1,22,20,57,12,0,Matches
1507,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20,2003,16.1,41,21,15,18,8,14,40,35.0,26,14,1,13,4,45,9,0,Matches
1508,Javi López,es ESP,DF,Alavés,es La Liga,21,2002,26.5,23,12,11,9,3,15,26,57.7,11,25,9,16,10,33,77,1,Matches
1509,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,1997,8.9,18,9,5,10,3,6,12,50.0,6,3,1,2,7,25,6,0,Matches
1510,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25,1997,1.6,2,1,1,1,0,1,2,50.0,1,1,1,0,2,4,0,0,Matches
1511,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,32.7,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,1,Matches
1512,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27,1995,23.4,48,24,18,23,7,21,53,39.6,32,24,3,21,16,64,15,2,Matches
1513,Dion Lopy,sn SEN,MF,Almería,es La Liga,21,2002,21.3,62,37,36,20,6,17,44,38.6,27,23,5,18,15,77,22,2,Matches
1514,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,1986,28.6,63,37,15,40,8,23,51,45.1,28,37,8,29,25,88,51,0,Matches
1515,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24,1998,20.0,36,28,18,9,9,25,35,71.4,10,30,9,21,16,52,26,1,Matches
1516,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,2003,4.5,14,5,6,6,2,7,11,63.6,4,7,3,4,3,17,9,0,Matches
1517,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,1999,9.6,13,7,2,8,3,2,8,25.0,6,8,1,7,9,22,4,0,Matches
1518,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,2000,6.0,10,7,5,5,0,4,5,80.0,1,9,5,4,13,23,10,0,Matches
1519,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,2000,10.5,27,14,17,8,2,16,24,66.7,8,14,7,7,18,45,41,1,Matches
1520,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,8.0,9,7,6,3,0,3,7,42.9,4,6,5,1,12,21,37,0,Matches
1521,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25,1998,22.1,25,12,9,11,5,9,23,39.1,14,21,2,19,21,46,24,0,Matches
1522,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26,1997,5.6,21,10,13,5,3,8,15,53.3,7,10,4,6,5,26,15,0,Matches
1523,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30,1993,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
1524,Anthony Lozano,hn HON,FW,Almería,es La Liga,30,1993,8.6,7,5,2,5,0,4,7,57.1,3,6,1,5,2,9,12,0,Matches
1525,Lucas,br BRA,DF,Cádiz,es La Liga,22,2001,17.1,47,27,32,11,4,32,55,58.2,23,27,4,23,17,64,45,0,Matches
1526,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,28.8,19,11,4,11,4,5,20,25.0,15,18,3,15,3,22,36,1,Matches
1527,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25,1998,24.6,48,29,31,17,0,27,36,75.0,9,32,17,15,16,64,68,2,Matches
1528,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,1995,19.9,71,36,44,23,4,43,67,64.2,24,18,3,15,11,82,42,0,Matches
1529,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,1987,11.6,5,3,1,4,0,3,13,23.1,10,9,1,8,7,12,4,0,Matches
1530,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33,1990,0.3,2,1,1,1,0,1,1,100.0,0,2,1,1,1,3,6,0,Matches
1531,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,1998,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2,Matches
1532,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,1993,29.3,6,5,1,2,3,2,4,50.0,2,7,1,6,0,6,19,1,Matches
1533,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,2002,24.3,19,12,10,9,0,10,12,83.3,2,35,13,22,12,31,94,2,Matches
1534,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25,1997,12.5,5,2,2,2,1,1,6,16.7,5,9,2,7,2,7,5,0,Matches
1535,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26,1996,12.5,33,19,9,17,7,18,39,46.2,21,18,5,13,16,49,19,1,Matches
1536,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27,1996,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
1537,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,15,1,Matches
1538,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,1996,37.8,37,26,25,10,2,15,24,62.5,9,46,35,11,32,69,157,1,Matches
1539,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19,2004,2.4,2,1,1,1,0,1,3,33.3,2,4,2,2,4,6,8,0,Matches
1540,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
1541,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21,2002,21.6,9,6,5,2,2,4,15,26.7,11,19,0,19,1,10,2,0,Matches
1542,Charalampos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,1993,10.0,10,6,5,4,1,5,10,50.0,5,15,5,10,5,15,30,0,Matches
1543,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24,1999,20.0,64,38,33,27,4,30,70,42.9,40,41,8,33,41,105,56,0,Matches
1544,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1545,Othmane Maamma,ma MAR,FW,Montpellier,fr Ligue 1,17,2005,1.0,3,3,2,0,1,1,1,100.0,0,3,0,3,0,3,0,0,Matches
1546,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21,2002,2.3,3,2,1,1,1,0,4,0.0,4,4,0,4,3,6,10,0,Matches
1547,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21,2002,14.0,30,22,15,9,6,16,30,53.3,14,22,4,18,13,43,26,0,Matches
1548,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24,1998,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1,Matches
1549,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29,1993,12.5,24,18,10,10,4,15,20,75.0,5,13,2,11,7,31,8,0,Matches
1550,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30,1993,8.7,23,14,7,9,7,13,24,54.2,11,8,1,7,4,27,2,0,Matches
1551,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26,1996,23.7,33,19,5,18,10,15,29,51.7,14,15,3,12,13,46,10,1,Matches
1552,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21,2002,11.7,16,10,8,4,4,11,34,32.4,23,11,0,11,4,20,14,0,Matches
1553,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26,1997,16.2,35,22,18,13,4,23,40,57.5,17,12,2,10,10,45,23,0,Matches
1554,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25,1997,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,Matches
1555,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19,2003,15.0,56,26,22,32,2,26,48,54.2,22,21,4,17,21,77,36,2,Matches
1556,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,1998,20.0,49,29,26,22,1,20,42,47.6,22,27,5,22,24,73,38,0,Matches
1557,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,1998,18.9,35,21,25,10,0,22,36,61.1,14,29,11,18,22,57,92,5,Matches
1558,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,1995,27.2,33,18,23,10,0,15,25,60.0,10,50,28,22,45,78,118,0,Matches
1559,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,1998,26.0,49,27,18,26,5,24,58,41.4,34,19,1,18,18,67,18,0,Matches
1560,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,1997,18.7,49,31,12,32,5,22,47,46.8,25,38,13,25,19,68,26,1,Matches
1561,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,1999,16.0,22,14,5,12,5,15,21,71.4,6,16,4,12,4,26,17,0,Matches
1562,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,1993,18.4,24,17,14,10,0,12,22,54.5,10,33,24,9,25,49,83,1,Matches
1563,Jon Magunazelaia,es ESP,"FW,MF",Real Sociedad,es La Liga,22,2001,1.3,5,3,2,3,0,4,8,50.0,4,3,0,3,0,5,2,0,Matches
1564,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
1565,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24,1999,11.1,14,9,5,8,1,5,14,35.7,9,19,2,17,6,20,11,0,Matches
1566,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,27,1996,1.6,2,2,1,0,1,1,3,33.3,2,2,0,2,4,6,2,0,Matches
1567,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29.0,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,4,3,Matches
1568,Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24,1999,21.1,18,15,11,5,2,9,28,32.1,19,12,1,11,6,24,12,0,Matches
1569,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,1994,34.0,85,49,58,24,3,38,74,51.4,36,66,32,34,49,134,158,1,Matches
1570,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,2005,21.4,47,27,20,16,11,21,45,46.7,24,20,12,8,22,69,30,1,Matches
1571,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,1997,15.9,34,18,12,14,8,19,37,51.4,18,16,6,10,17,51,29,1,Matches
1572,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,1,Matches
1573,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,25,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
1574,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,1998,23.4,39,18,17,22,0,12,31,38.7,19,20,1,19,12,51,13,0,Matches
1575,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,5.3,5,4,3,2,0,2,6,33.3,4,12,1,11,8,13,5,0,Matches
1576,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,21,2001,11.4,17,11,11,5,1,6,10,60.0,4,16,4,12,11,28,37,0,Matches
1577,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,1998,30.0,41,24,21,15,5,15,30,50.0,15,23,4,19,16,57,27,2,Matches
1578,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,1995,36.3,65,43,26,31,8,23,41,56.1,18,56,23,33,46,111,61,0,Matches
1579,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,2001,6.7,18,13,12,3,3,16,24,66.7,8,8,1,7,13,31,26,0,Matches
1580,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,21,2001,3.7,3,2,0,2,1,3,6,50.0,3,2,0,2,2,5,1,0,Matches
1581,Daniel Maldini,it ITA,"FW,MF",Empoli,it Serie A,21,2001,2.9,4,2,0,2,2,2,2,100.0,0,5,0,5,2,6,2,0,Matches
1582,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,24,1998,28.9,74,48,30,36,8,23,52,44.2,29,62,7,55,25,99,29,0,Matches
1583,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24,1999,19.8,11,7,5,3,3,2,6,33.3,4,11,4,7,2,13,8,0,Matches
1584,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,30,1993,17.2,35,20,18,11,6,17,41,41.5,24,22,8,14,5,40,16,0,Matches
1585,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,1999,25.4,43,26,14,24,5,25,59,42.4,34,33,9,24,25,68,88,0,Matches
1586,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1587,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,2000,36.5,4,3,4,0,0,4,4,100.0,0,1,0,1,2,6,22,2,Matches
