Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
174,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32,1991,17,17,1530,17.0,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1
175,Unai Simón,es ESP,GK,Athletic Club,es La Liga,26,1997,36,36,3182,35.4,33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75.0,0,2,4,38.0,0.28,9.0,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3
176,Antonio Sivera,es ESP,GK,Alavés,es La Liga,26,1996,34,34,3060,34.0,38,1.12,123,87,75.6,11,8,15,10,29.4,8,8,0,0,0.0,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5.0,29,0.85,13.1
177,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,32,1991,32,32,2880,32.0,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0,1,3,1,26.6,0.23,-1.4,-0.05,103,297,34.7,829,136,26.3,29.6,188,42.0,38.7,432,12,2.8,15,0.47,12.2
178,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,26,1997,1,0,5,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,0,0,0,0.0,,0.0,0.0,0,3,0.0,2,0,100.0,54.5,1,100.0,76.0,2,1,50.0,0,0.0,15.0
179,Yann Sommer,ch SUI,GK,Inter,it Serie A,34,1988,34,34,3060,34.0,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3,0,3,0,25.5,0.23,6.5,0.19,104,226,46.0,1033,120,17.4,26.1,201,22.9,27.9,395,18,4.6,14,0.41,12.1
180,David Soria,es ESP,GK,Getafe,es La Liga,30,1993,38,38,3413,37.9,52,1.37,171,118,72.5,10,13,15,10,26.3,7,5,1,1,16.7,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,458,17,3.7,62,1.63,17.3
181,Alessandro Sorrentino,it ITA,GK,Monza,it Serie A,21,2002,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0,0.0,0,1,0,14.4,0.34,-1.6,-0.27,18,56,32.1,151,29,26.5,30.6,42,38.1,36.1,62,3,4.8,3,0.49,16.8
182,Marco Sportiello,it ITA,GK,Milan,it Serie A,31,1992,7,7,630,7.0,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0,0,0,1,8.9,0.25,-1.1,-0.15,20,51,39.2,230,40,20.4,26.9,17,23.5,29.1,81,5,6.2,9,1.29,15.4
183,Jason Steele,eng ENG,GK,Brighton,eng Premier League,32,1990,17,17,1530,17.0,34,2.0,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4.0,41,2.41,20.6
184,Thomas Strakosha,al ALB,GK,Brentford,eng Premier League,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40.0,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10.0
185,Mile Svilar,rs SRB,GK,Roma,it Serie A,23,1999,15,15,1350,15.0,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0,0,3,1,20.2,0.24,2.2,0.14,44,116,37.9,516,77,15.9,25.3,89,38.2,36.2,208,16,7.7,7,0.47,12.0
186,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,33,1990,35,35,3150,35.0,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3,0,4,2,28.3,0.24,0.3,0.01,147,340,43.2,828,134,32.0,32.8,174,43.1,40.2,555,26,4.7,20,0.57,11.6
187,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,22,2001,6,5,529,5.9,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,0,0,,0,2,0,6.0,0.24,-1.0,-0.17,14,46,30.4,174,19,23.0,29.6,37,16.2,27.1,71,2,2.8,5,0.85,14.8
188,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,31,1992,28,28,2520,28.0,27,0.96,102,75,75.5,20,5,3,15,53.6,2,2,0,0,0.0,0,1,0,27.7,0.25,0.7,0.03,92,167,55.1,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,1.11,15.6
189,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33,1990,33,33,2970,33.0,35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3,3,5,0,40.2,0.27,5.2,0.16,164,382,42.9,1051,120,29.0,32.1,176,43.8,38.2,307,7,2.3,23,0.7,14.6
190,James Trafford,eng ENG,GK,Burnley,eng Premier League,20,2002,28,28,2520,28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0,0,10,2,54.1,0.3,-5.9,-0.21,138,606,22.8,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,1.54,15.0
191,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,33,1990,32,32,2880,32.0,48,1.5,137,87,71.5,10,13,9,7,21.9,11,9,2,0,18.2,0,4,0,48.3,0.28,0.3,0.01,102,361,28.3,949,137,28.9,29.8,212,41.0,36.2,452,16,3.5,30,0.94,15.2
192,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,24,1999,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0,0,0,0,5.0,0.23,0.0,0.01,22,72,30.6,92,13,55.4,41.7,26,80.8,55.6,60,3,5.0,3,0.75,14.8
193,Stefano Turati,it ITA,GK,Frosinone,it Serie A,21,2001,31,31,2745,30.5,58,1.9,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7,0,10,1,47.5,0.28,-9.5,-0.31,72,316,22.8,919,147,27.3,29.2,144,45.1,38.8,412,18,4.4,19,0.62,13.7
194,Matt Turner,us USA,GK,Nott'ham Forest,eng Premier League,29,1994,17,17,1530,17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45.0,436,99,42.7,35.7,136,69.1,47.0,296,30,10.1,18,1.06,13.3
195,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,34,1988,11,11,990,11.0,12,1.09,31,19,64.5,7,2,2,4,36.4,1,1,0,0,0.0,1,2,0,11.8,0.35,-0.2,-0.01,26,79,32.9,348,57,20.4,26.2,47,17.0,26.4,108,5,4.6,16,1.45,19.9
196,Álvaro Vallés,es ESP,GK,Las Palmas,es La Liga,26,1997,37,37,3263,36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5,0,5,3,48.7,0.28,7.7,0.21,137,447,30.6,1762,194,21.7,27.3,151,42.4,39.1,521,29,5.6,96,2.65,17.8
197,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,20,2002,21,21,1890,21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8
198,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,26,1996,38,38,3420,38.0,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1363,193,14.3,24.0,201,14.9,22.2,511,33,6.5,81,2.13,17.1
199,Fran Vieites,es ESP,GK,Betis,es La Liga,24,1999,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,0,0,,1,0,0,4.5,0.25,0.5,0.15,13,50,26.0,82,18,37.8,36.5,35,54.3,46.4,65,3,4.6,2,0.57,10.5
200,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,26,1997,12,12,1014,11.3,18,1.6,44,26,63.6,2,4,6,0,0.0,3,2,1,0,33.3,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2
201,Odysseas Vlachodimos,gr GRE,GK,Nott'ham Forest,eng Premier League,29,1994,5,5,450,5.0,12,2.4,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,0.4,10.3
202,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,28,1994,30,30,2700,30.0,48,1.6,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0.0,1,2,1,49.2,0.37,2.2,0.07,180,512,35.2,862,146,47.3,38.5,177,58.8,46.4,393,42,10.7,48,1.6,16.0
203,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,28,1995,27,27,2430,27.0,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0.0,0,4,1,41.0,0.3,5.0,0.18,145,330,43.9,977,161,28.5,32.7,144,36.1,38.1,407,34,8.4,30,1.11,14.6
