Nom du joueur,Équipe,Poste,Tacles réussis/90,Interceptions/90,Dégagements/90,Blocs/90,Fautes/90,Cartons jaunes/90,Passes progressives/90,Conduites progressives/90
Ben Osborn,Sheffield Utd,"DF,MF",0.592538405267008,0.5267008046817849,1.9751280175566936,1.185076810534016,0.5267008046817849,0.1975128017556693,3.6210680321872712,1.05340160936357
Ben White,Arsenal,DF,0.8433734939759037,0.963855421686747,2.319277108433735,1.4457831325301205,0.572289156626506,0.2409638554216867,5.783132530120481,1.325301204819277
Benedikt Gimber,Heidenheim,DF,1.0687778327560613,0.7125185551707076,4.497773379515091,1.202375061850569,1.7812963879267687,0.400791687283523,1.1133102424542307,0.1335972290945076
Benjamin Henrichs,RB Leipzig,DF,1.3895486935866983,1.175771971496437,1.318289786223278,1.7458432304038003,0.9619952494061756,0.178147268408551,4.418052256532067,1.8883610451306412
Benjamin Mendy,Lorient,DF,0.1265822784810126,0.8860759493670887,2.531645569620253,1.0126582278481011,1.5189873417721518,0.3797468354430379,4.30379746835443,3.291139240506329
Benjamin Pavard,Inter,DF,1.1303827751196172,1.7224880382775118,2.3684210526315788,1.3456937799043065,1.2380382775119618,0.3229665071770335,4.79066985645933,1.3456937799043065
Benno Schmitz,Köln,DF,1.168831168831169,0.5454545454545454,2.25974025974026,1.4805194805194806,0.7012987012987013,0.3896103896103896,5.454545454545455,2.103896103896104
Benoît Badiashile,Chelsea,DF,1.0089686098654709,1.2107623318385652,4.439461883408072,1.4125560538116593,1.1434977578475336,0.2017937219730941,3.0941704035874436,0.2017937219730941
Berat Djimsiti,Atalanta,DF,0.7627118644067796,1.8114406779661016,3.1779661016949152,1.6843220338983051,0.5402542372881356,0.1588983050847457,2.510593220338983,0.1906779661016949
Bernardo,Bochum,DF,1.7852257181942544,1.6928864569083446,3.693570451436389,2.0314637482900135,1.6621067031463748,0.2770177838577291,3.909028727770178,0.8002735978112175
Boubakar Kouyaté,Montpellier,DF,1.400414937759336,1.353734439834025,5.741701244813278,1.447095435684647,1.6338174273858923,0.233402489626556,2.70746887966805,0.1867219917012448
Bradley Locko,Brest,DF,1.6728624535315986,1.2166272389320716,2.098681987157824,0.8516390672524501,0.7908077053058467,0.1520784048665089,3.923622845555931,2.5245015207840487
Brendan Chardonnet,Brest,DF,1.0303030303030305,1.606060606060606,4.212121212121212,1.7575757575757571,1.0606060606060606,0.1212121212121212,3.4848484848484844,0.7575757575757576
Bruno Amione,Hellas Verona,DF,0.466321243523316,1.3989637305699485,2.9533678756476687,0.6217616580310881,1.5544041450777202,0.310880829015544,2.6424870466321244,0.310880829015544
Bruno Langa,Almería,DF,1.3170731707317074,0.4390243902439024,3.6219512195121952,1.2073170731707317,0.4390243902439024,0.1097560975609756,2.74390243902439,1.5365853658536586
Bruno Méndez,Granada,DF,1.147786946736684,1.7554388597149289,3.0382595648912227,1.620405101275319,0.9452363090772692,0.2700675168792198,3.1732933233308325,0.5401350337584396
Caio Henrique Oliveira Silva,Monaco,DF,1.0112359550561798,0.8667736757624398,1.3001605136436598,1.1556982343499198,0.2889245585874799,0.0,4.767255216693419,2.3113964686998396
Caleb Okoli,Frosinone,DF,1.0501029512697322,0.8956760466712422,4.81811942347289,1.4824982841455046,0.8339052848318462,0.2779684282772821,3.6444749485243655,0.6794783802333562
Calvin Bassey,Fulham,DF,1.1333043855840208,1.094224924012158,3.282674772036474,1.2505427702996093,0.5861919235779418,0.2344767694311767,2.422926617455493,0.5861919235779418
Carl Starfelt,Celta Vigo,DF,1.2184115523465704,1.3808664259927796,6.457581227436823,1.421480144404332,0.6092057761732852,0.1624548736462094,1.5433212996389891,0.2030685920577617
Carlos Augusto,Inter,DF,1.0956521739130434,0.8347826086956521,2.7130434782608694,1.0434782608695652,0.8869565217391304,0.0521739130434782,2.8173913043478263,2.1913043478260867
Carlos Dominguez,Celta Vigo,DF,1.193181818181818,1.25,4.431818181818182,1.3636363636363638,0.8522727272727273,0.1136363636363636,3.5795454545454546,0.625
Carlos Neva,Granada,DF,0.6007628734901462,0.8582326764144945,3.089637635092181,1.115702479338843,0.6293706293706294,0.1144310235219326,3.17546090273363,1.2301335028607756
Carlos Romero,Villarreal,DF,1.717557251908397,0.3435114503816793,3.7786259541984735,1.0305343511450382,0.6870229007633587,0.3435114503816793,2.0610687022900764,2.0610687022900764
Carmona,Getafe,"DF,MF",1.4394516374714394,1.4394516374714394,1.7136329017517136,1.0281797410510285,2.261995430312262,0.5483625285605483,2.673267326732673,1.987814166031988
