Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
2306,Alexis Saelemaekers,be BEL,"FW,MF",Bologna,it Serie A,24.0,1999.0,FW,30,21,1887,21.0,7,1,4,29.0,10.0,34.5,1.38,0.48,0.14,0.4,23.2,4.0,2.6,2.6,2.6,2.6,0.09,1.4,1.4,0,0,2,44,2.8,3.5,-0.8,35,5,1271,558,47,106,40,37.7,58,54.7,818,65,2370,17,49,25,180,65,49,786,1008,78.0,77,16.0,58.0,112.0,8.0,7.0,53.3,55.2,7.0,9.0,1.87,31.0,18.0,13.0,0.62,24.3,22.8,1.5,0.07
2335,Alexis Sánchez,cl CHI,"FW,MF",Inter,it Serie A,34.0,1988.0,FW,23,6,763,8.5,0,0,2,17.0,5.0,29.4,2.01,0.59,0.06,0.2,16.4,2.0,3.2,2.5,3.2,2.5,0.14,-1.2,-1.5,1,1,5,18,3.1,2.8,1.9,24,2,453,240,37,22,12,54.5,8,36.4,292,16,581,4,22,15,58,16,16,276,367,75.2,53,14.0,19.0,28.0,8.0,13.0,38.1,22.3,3.0,17.0,2.22,16.0,4.0,12.0,1.42,18.7,6.9,11.9,1.4
176,Aliou Badara Baldé,gn GUI,"FW,DF",Nice,fr Ligue 1,20.0,2002.0,FW,7,0,69,0.8,0,0,0,3.0,2.0,66.7,3.91,2.61,0.0,0.0,19.3,0.0,0.1,0.1,0.1,0.1,0.05,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0,0,58,36,5,10,3,30.0,6,60.0,35,5,161,1,2,0,8,5,5,15,30,50.0,2,2.0,2.0,6.0,1.0,2.0,33.3,2.3,0.0,7.0,1.14,3.0,0.0,3.0,3.91,1.8,1.6,0.2,0.29
538,Alphadjo Cissè,it ITA,FW,Hellas Verona,it Serie A,16.0,2006.0,FW,1,0,8,0.1,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,,0,,1,0,0,0,0,0,0,0,0,1,1,100.0,0,1.0,0.0,0.0,0.0,0.0,,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.8,-0.8,-8.59
696,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,eng Premier League,21.0,2002.0,FW,9,3,390,4.3,1,0,1,10.0,4.0,40.0,2.31,0.92,0.1,0.25,19.3,0.0,0.5,0.5,0.5,0.5,0.05,0.5,0.5,0,0,1,10,1.1,0.5,-0.1,3,0,231,110,24,23,11,47.8,10,43.5,146,11,355,4,7,14,31,11,12,149,170,87.6,10,5.0,4.0,14.0,4.0,6.0,40.0,11.4,0.0,6.0,1.22,10.0,6.0,4.0,0.92,7.7,7.4,0.3,0.07
93,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27.0,1996.0,FW,15,3,394,4.4,2,0,0,12.0,2.0,16.7,2.74,0.46,0.0,0.0,14.1,0.0,1.6,1.6,1.6,1.6,0.13,-1.6,-1.6,0,0,0,3,0.4,0.3,-0.4,4,2,198,90,21,25,8,32.0,15,60.0,119,19,478,9,22,8,30,19,8,76,113,67.3,13,10.0,7.0,21.0,6.0,5.0,54.5,11.5,0.0,12.0,0.87,3.0,4.0,-1.0,-0.23,7.1,6.2,0.9,0.21
2360,Amin Sarr,se SWE,"FW,MF",Wolfsburg,de Bundesliga,22.0,2001.0,FW,17,3,484,4.3,0,0,0,6.0,2.0,36.65,2.995,1.155,0.0,0.0,15.7,0.0,0.6,0.6,0.6,0.6,0.09,-0.6,-0.6,0,0,0,2,0.2,0.2,-0.2,5,0,181,80,10,11,2,42.45,8,53.0,112,3,175,0,13,9,26,3,5,95,130,69.05,12,3.0,3.0,14.0,13.0,11.0,47.1,7.9,0.0,12.0,0.52,2.0,8.0,-6.0,-0.23999999999999994,4.9,5.0,0.0,-0.01
1019,Amine Gouiri,dz ALG,"FW,MF",Rennes,fr Ligue 1,23.0,2000.0,FW,31,24,2067,23.0,2,0,7,78.0,26.0,33.3,3.4,1.13,0.09,0.27,15.2,0.0,7.4,7.3,7.4,7.3,0.09,-0.4,-0.3,0,0,3,21,1.7,2.4,1.3,32,0,1049,524,132,86,46,53.5,40,46.5,822,59,2120,28,41,40,185,59,50,625,764,81.8,82,27.0,23.0,75.0,15.0,19.0,44.1,67.5,8.0,7.0,1.26,32.0,37.0,-5.0,-0.22,36.4,28.2,8.2,0.36
2316,Amine Salama,fr FRA,FW,Reims,fr Ligue 1,23.0,2000.0,FW,11,2,313,3.5,0,0,0,6.0,1.0,16.7,1.73,0.29,0.0,0.0,13.8,0.0,0.7,0.7,0.7,0.7,0.12,-0.7,-0.7,0,0,0,5,0.2,0.2,-0.2,1,1,110,56,10,14,10,71.4,3,21.4,85,10,311,3,15,5,33,10,4,48,73,65.8,7,3.0,3.0,14.0,3.0,2.0,60.0,10.2,0.0,9.0,1.18,2.0,3.0,-1.0,-0.29,4.0,3.5,0.4,0.12
2823,Anass Zaroury,ma MAR,"FW,MF",Burnley,eng Premier League,22.0,2000.0,FW,6,1,152,1.7,0,1,0,3.0,1.0,33.3,1.78,0.59,0.0,0.0,20.9,0.0,0.2,0.2,0.2,0.2,0.06,-0.2,-0.2,0,0,0,2,0.0,0.1,0.0,2,1,87,37,4,6,2,33.3,3,50.0,60,2,91,0,3,2,12,2,2,43,70,61.4,2,4.0,3.0,8.0,0.0,1.0,0.0,4.4,0.0,5.0,0.17,2.0,4.0,-2.0,-1.18,1.8,2.8,-1.1,-0.64
